,aeropuer-aemet
0,627.47485
1,525.7579
2,370.57462
3,230.49449
4,109.41566
5,14.044813
6,6.5012074
7,-5.2708697
8,9.4028015
9,17.201208
10,11.008646
11,19.416298
12,10.741432
13,-60.64276
14,-33.604134
15,-50.203617
16,-43.657772
17,-21.634813
18,-8.7181015
19,94.85933
20,283.54437
21,468.78403
22,526.105
23,607.61646
24,603.66327
25,457.74664
26,446.13885
27,306.60416
28,193.11732
29,106.38255
30,58.38206
31,50.99902
32,52.2196
33,58.48056
34,27.65732
35,5.504442
36,57.00985
37,24.393177
38,4.5094905
39,12.489789
40,-6.3068995
41,0.0763683
42,23.311693
43,58.034107
44,294.56055
45,567.83356
46,591.0125
47,555.0474
48,576.2355
49,423.20947
50,418.533
51,241.20322
52,128.69252
53,12.870666
54,13.781513
55,20.81803
56,22.346977
57,-1.4333218
58,26.482262
59,21.457397
60,3.824832
61,7.627088
62,-20.565876
63,1.3031112
64,14.708457
65,-3.5207644
66,17.363176
67,72.8193
68,292.7705
69,442.27435
70,603.0383
71,609.6032
72,697.9633
73,488.4114
74,405.87976
75,231.16635
76,98.41594
77,-28.22213
78,-12.793982
79,-12.794601
80,-3.4462094
81,14.103205
82,3.8280754
83,6.164146
84,16.595339
85,40.04278
86,26.110018
87,16.92913
88,19.434896
89,18.765335
90,20.981602
91,66.46643
92,289.1598
93,471.13486
94,583.605
95,631.89996
96,631.96063
97,512.4138
98,407.29736
99,227.13339
100,123.715744
101,32.054935
102,16.255297
103,13.463606
104,9.931435
105,25.590319
106,15.941244
107,22.503155
108,45.06945
109,32.068195
110,36.082214
111,44.50109
112,34.79834
113,68.80891
114,-7.6145096
115,28.88955
116,198.66681
117,475.35806
118,561.2279
119,612.5006
120,616.9325
121,555.59766
122,419.48843
123,271.09387
124,134.22115
125,36.326374
126,-25.696495
127,2.4351254
128,-35.33178
129,-46.107014
130,-36.74166
131,-18.540787
132,13.477588
133,22.643787
134,18.007881
135,11.645757
136,21.0765
137,21.869324
138,-50.87013
139,38.563625
140,253.96632
141,466.874
142,571.51416
143,660.36743
144,662.6946
145,531.9106
146,393.9122
147,221.6112
148,119.826645
149,18.927519
150,6.3299904
151,1.7744836
152,35.320652
153,27.499348
154,27.56008
155,-15.797044
156,-18.856192
157,-40.177986
158,-33.000896
159,-17.08527
160,-8.194548
161,-11.838793
162,-12.417368
163,116.386604
164,302.5837
165,491.73447
166,682.2267
167,709.50464
168,662.54254
169,558.5665
170,429.19138
171,251.6371
172,137.80309
173,94.836876
174,73.35912
175,65.688736
176,64.584785
177,31.363907
178,76.828384
179,52.766563
180,201.05672
181,175.88185
182,203.61913
183,133.90076
184,171.64961
185,181.61244
186,187.49385
187,205.00696
188,444.0131
189,674.05304
190,741.4225
191,751.5633
192,741.05035
193,604.97705
194,399.97205
195,203.2442
196,77.79196
197,-37.120113
198,-62.26101
199,-26.095968
200,-40.277798
201,-57.314972
202,-33.218163
203,-0.9796294
204,-0.9030465
205,-3.2149713
206,2.6944687
207,2.646679
208,-2.0991876
209,-1.2491225
210,-2.1837099
211,26.942501
212,263.6454
213,470.72018
214,595.874
215,646.3476
216,641.58514
217,570.23444
218,417.5013
219,202.36087
220,108.35606
221,-0.64272976
222,48.372414
223,2.8522902
224,34.691837
225,-3.527082
226,-8.811729
227,-14.773089
228,-2.177855
229,1.4960309
230,10.084498
231,28.911926
232,75.29215
233,63.73162
234,9.46733
235,56.371098
236,312.6138
237,600.10486
238,709.25323
239,693.8737
240,592.94556
241,530.404
242,382.74124
243,309.4262
244,23.411583
245,-24.959293
246,-24.967514
247,-18.198921
248,-15.262466
249,-21.608212
250,-33.70976
251,-79.77548
252,4.9910407
253,9.413277
254,10.290603
255,-3.9165902
256,-15.298208
257,1.2375356
258,15.096677
259,282.14038
260,465.41696
261,584.66437
262,643.78687
263,654.2825
264,512.9393
265,404.01913
266,212.72333
267,152.52571
268,-17.010979
269,-11.124035
