,balsa-adeyaham
0,48.117554
1,190.45726
2,76.45612
3,282.94507
4,496.1841
5,609.92755
6,549.44434
7,686.7983
8,591.6199
9,642.25116
10,528.66595
11,317.57635
12,274.2182
13,191.55342
14,79.98461
15,-14.389617
16,-21.880098
17,1.4599881
18,19.922552
19,35.282146
20,27.69716
21,49.01787
22,37.23341
23,53.283398
24,54.568325
25,15.918129
26,-2.4429097
27,167.61938
28,474.79877
29,754.5415
30,685.88574
31,895.344
32,883.7795
33,945.0292
34,811.1765
35,800.6588
36,558.7361
37,250.2555
38,160.16212
39,20.180883
40,-4.7978487
41,-9.228275
42,-2.5966978
43,-8.169017
44,-3.2538552
45,33.81897
46,25.08808
47,34.99983
48,16.941153
49,37.229286
50,37.224846
51,137.97699
52,264.6786
53,331.9675
54,413.91135
55,543.7177
56,810.48865
57,741.1652
58,758.7169
59,683.3994
60,580.3253
61,380.5847
62,207.93866
63,113.76307
64,23.402067
65,-0.6190856
66,79.67493
67,21.599144
68,18.265858
69,9.447749
70,11.403806
71,24.138538
72,45.735626
73,-0.81103224
74,37.165894
75,204.23894
76,363.8465
77,594.3137
78,827.60474
79,887.5539
80,922.2302
81,931.15405
82,874.86127
83,799.1423
84,662.737
85,493.39862
86,166.63573
87,68.0847
88,13.412536
89,86.16836
90,101.67343
91,104.242645
92,65.25865
93,54.9964
94,76.49242
95,45.959976
96,20.466843
97,45.417843
98,93.87704
99,131.19604
100,421.5276
101,591.5675
102,771.97174
103,575.2357
104,617.3624
105,688.69434
106,890.4486
107,733.57434
108,627.4089
109,537.60516
110,116.53958
111,66.09338
112,13.951119
113,94.57966
114,97.31696
115,95.29115
116,66.58131
117,40.93445
118,72.31105
119,21.785316
120,-13.324629
121,-36.165356
122,88.830505
123,154.02911
124,382.74744
125,525.7785
126,798.681
127,867.9405
128,851.2612
129,844.4824
130,745.86914
131,815.85095
132,667.15967
133,428.19162
134,75.0514
135,135.38824
136,40.006084
137,4.55548
138,41.979176
139,65.380135
140,95.79722
141,96.18125
142,24.151688
143,38.46531
144,24.89552
145,-21.689869
146,68.362465
147,143.07513
148,384.09146
149,698.64844
150,684.0325
151,716.4419
152,616.1764
153,413.73807
154,280.70627
155,234.49136
156,279.76086
157,158.11476
158,76.45432
159,0.36542156
160,20.214386
161,4.7763247
162,-4.609004
163,-3.4329543
164,24.175703
165,21.047869
166,47.233524
167,49.307228
168,50.087585
169,47.27039
170,55.839867
171,221.40645
172,359.38797
173,679.87964
174,852.301
175,802.0028
176,970.80347
177,957.12726
178,850.79205
179,679.1043
180,541.52966
181,370.07492
182,156.86784
183,113.51019
184,98.31055
185,60.252083
186,16.955326
187,36.173912
188,74.410515
189,42.558727
190,-2.3522148
191,28.983625
192,41.00432
193,31.547384
194,32.19065
195,187.5243
196,506.9858
197,601.59033
198,845.25635
199,992.8978
200,979.5524
201,984.6003
202,910.62744
203,712.0027
204,551.0568
205,414.63446
206,161.82991
207,48.35924
208,91.87397
209,13.847297
210,91.82654
211,14.975363
212,74.410515
213,68.05876
214,112.50543
215,90.9864
216,86.07056
217,93.03862
218,98.394264
219,239.6018
220,431.5475
221,626.36707
222,885.8492
223,1079.5116
224,1017.5819
225,976.11224
226,869.6948
227,767.587
228,566.10266
229,443.61136
230,165.63454
231,145.70708
232,132.73734
233,165.4057
234,160.7664
235,94.34874
236,97.10621
237,88.84032
238,87.56381
239,95.76571
240,36.96507
241,87.310616
242,99.62114
243,185.2732
244,374.0597
245,612.1918
246,825.98
247,1010.7442
248,1020.8922
249,956.3088
250,881.63715
251,777.27704
252,595.2107
253,494.84363
254,151.15825
255,118.45874
256,111.44764
257,114.44383
258,114.38598
259,98.96227
260,106.38152
261,144.76962
262,87.04599
263,167.90105
264,45.20722
265,102.05619
266,123.973434
267,224.7685
268,327.84778
269,528.9617
270,794.06134
271,1028.823
272,980.94727
273,989.1947
274,847.03357
275,819.5549
276,685.01636
277,525.1917
278,101.87852
279,-14.129514
280,-9.376243
281,33.738155
282,21.174158
283,104.03103
284,57.140526
285,35.08353
286,67.28637
287,79.06296
288,98.46676
289,74.92605
290,12.903167
291,174.89807
292,322.4638
293,546.6007
294,986.72
295,1040.1123
296,1063.0204
297,964.69855
298,872.8437
299,807.32446
300,525.1849
301,456.86905
302,158.3397
303,136.87349
304,156.8849
305,104.29077
306,12.884398
307,55.705006
308,50.812893
309,31.28794
310,30.599384
311,48.935257
312,25.784998
313,142.18382
314,24.42368
315,197.25769
316,348.3407
317,611.7736
318,854.6096
319,909.6983
320,850.0969
321,972.4364
322,920.3918
323,821.3423
324,664.35175
325,402.20328
326,186.3154
327,76.527374
328,89.47927
329,22.646252
330,22.769012
331,29.902435
332,36.93353
333,37.317562
334,53.709187
335,43.981712
336,57.03725
337,60.177376
338,60.263626
339,168.58977
340,411.69067
341,622.9269
342,863.09344
343,991.6276
344,1001.84033
345,1019.008
346,932.6291
347,867.88354
348,701.2053
349,519.69666
350,154.97063
351,117.81439
352,99.775024
353,68.08985
354,47.155663
355,76.137474
356,94.68483
357,140.2275
358,86.82198
359,42.125755
360,75.900116
361,64.74446
362,90.03343
363,277.3808
364,449.51068
365,630.08264
366,851.06836
367,991.33276
368,1030.8911
369,1014.8927
370,938.0221
371,879.0685
372,745.0143
373,561.79877
374,200.23192
375,124.81993
376,87.60564
377,94.653854
378,106.932976
379,11.041659
380,35.593407
381,94.85001
382,0.38382432
383,16.283487
384,21.570776
385,36.15521
386,71.51907
387,97.406715
388,397.7309
389,581.9145
390,855.13654
391,925.76904
392,805.7578
393,1026.0859
394,891.76404
395,827.57544
396,700.6974
397,499.08594
398,179.78531
399,152.10701
400,97.95465
401,103.6019
402,80.53191
403,14.151178
404,47.24971
405,57.879677
406,55.866653
407,55.757343
408,42.34127
409,100.08944
410,133.14404
411,91.01932
412,359.97073
413,617.3343
414,857.9608
415,932.16974
416,887.8461
417,960.39667
418,814.1064
419,841.8679
420,672.23737
421,555.42725
422,96.002235
423,134.88327
424,57.341824
425,42.589615
426,25.636347
427,114.723656
428,57.564472
429,87.279724
430,66.49555
431,82.27481
432,114.97972
433,70.15309
434,122.847855
435,210.11087
436,413.33667
437,616.7325
438,853.6389
439,974.49426
440,1003.3148
441,991.2924
442,863.5774
443,687.2777
444,476.06503
445,269.22232
446,81.6418
447,109.53836
448,78.66602
449,53.07193
450,37.632057
451,97.311905
452,93.7955
453,63.07456
454,22.433847
455,29.944155
456,49.95347
457,43.36579
458,27.266478
459,229.1255
460,459.97446
461,624.5242
462,774.5975
463,1043.1671
464,987.5883
465,987.0742
466,896.7708
467,832.421
468,577.2881
469,383.6626
470,187.76855
471,106.667656
472,21.485746
473,72.216995
474,119.922134
475,153.20439
476,108.94698
477,86.570435
478,43.953777
479,64.77719
480,97.23643
481,119.254456
482,129.48424
483,165.7816
484,461.36133
485,705.1853
486,797.7058
487,799.0741
488,810.74854
489,822.5356
490,785.6088
491,642.652
492,498.88977
493,343.04382
494,206.13792
495,155.40367
496,146.69809
497,125.81132
498,65.61651
499,146.9192
500,77.8651
501,134.73384
502,143.94727
503,149.88156
504,70.11026
505,78.78523
506,159.14029
507,230.673
508,500.21808
509,618.81696
510,832.03613
511,838.1066
512,812.539
513,955.71735
514,915.8894
515,714.918
516,542.4819
517,292.2621
518,165.08319
519,146.84937
520,107.40191
521,95.6484
522,95.15818
523,67.52026
524,28.800894
525,29.657734
526,21.660978
527,92.70473
528,66.64576
529,37.489086
530,88.78549
531,239.57584
532,343.8829
533,645.90826
534,789.7668
535,984.3986
536,998.31885
537,846.8273
538,870.5782
539,724.56494
540,591.2514
541,382.63565
542,158.10841
543,51.31233
544,51.452126
545,74.70778
546,91.87421
547,35.828487
548,92.517265
549,52.590725
550,43.301968
551,38.509563
552,64.11016
553,14.385482
554,77.80468
555,146.42072
556,333.41232
557,608.6234
558,752.56714
559,966.4543
560,951.41675
561,961.3916
562,836.303
563,710.0391
564,566.2548
565,343.09317
566,162.0114
567,146.47139
568,103.02573
569,55.107758
570,63.750698
571,97.75826
572,45.8585
573,70.403824
574,9.298721
575,70.14211
576,99.73539
577,99.997795
578,61.531704
579,203.64737
580,368.3363
581,635.06415
582,698.03436
583,845.74786
584,952.2778
585,952.6377
586,871.97015
587,838.51544
588,594.2708
589,353.5597
590,163.68066
591,126.16751
592,143.32532
593,82.97393
594,123.75646
595,143.27042
596,146.11697
597,134.40929
598,134.80682
599,189.49124
600,183.49715
601,185.00946
602,189.26103
603,239.68336
604,439.93408
605,647.53687
606,842.0922
607,918.6232
608,972.88654
609,1023.6207
610,932.2774
611,819.9483
612,702.8659
613,544.3066
614,179.13034
615,77.78141
616,102.142006
617,73.37219
618,94.18401
619,95.627785
620,137.49524
621,102.75496
622,143.51732
623,119.4487
624,106.01879
625,90.61286
626,71.04948
627,181.63562
628,356.86438
629,520.2059
630,699.2786
631,554.6621
632,529.9852
633,528.0976
634,435.3454
635,331.19147
636,397.7614
637,184.70674
638,116.738174
639,98.82896
640,146.1926
641,73.2227
642,55.579052
643,72.004654
644,31.206535
645,17.050327
646,74.32762
647,86.665565
648,127.58265
649,146.05208
650,159.076
651,187.26027
652,349.2603
653,629.9605
654,750.17816
655,907.72485
656,911.764
657,962.4185
658,857.98676
659,723.17523
660,690.7169
661,508.79858
662,232.22754
663,113.840935
664,121.29803
665,84.34317
666,26.478748
667,81.88735
668,59.10414
669,125.400055
670,109.326324
671,102.95163
672,111.53989
673,54.798386
674,155.81311
675,157.46858
676,326.95584
677,608.67865
678,904.3954
679,993.3148
680,989.56604
681,974.9218
682,842.3205
683,846.6373
684,733.1109
685,541.2376
686,142.08798
687,130.09512
688,148.1749
689,82.61145
690,80.78342
691,102.85925
692,256.30563
693,195.34753
694,147.95326
695,126.74935
696,124.64232
697,86.04358
698,84.75461
699,157.9783
700,423.26465
701,604.1623
702,853.6217
703,957.01166
704,996.41644
705,997.48413
706,920.5146
707,803.8532
708,612.8282
709,441.01102
710,237.96327
711,146.33832
712,118.79886
713,107.84355
714,94.932274
715,84.3946
716,97.806
717,54.346695
718,103.91734
719,59.048756
720,109.48758
721,86.78928
722,91.11731
723,120.69016
724,549.40045
725,637.75726
726,845.36395
727,998.5036
728,1001.54407
729,1020.6434
730,966.3724
731,836.2956
732,493.9622
733,359.2371
734,191.05708
735,135.3216
736,121.98293
737,118.32381
738,137.08
739,105.54489
740,105.676445
741,84.055695
742,112.79191
743,114.78167
744,94.82544
745,29.390005
746,112.290794
747,270.37085
748,470.80606
749,743.4689
750,867.05676
751,950.27026
752,978.19965
753,971.03033
754,896.3818
755,813.7543
756,689.3458
757,549.11536
758,197.31334
759,156.59798
760,142.65092
761,82.84723
762,120.591446
763,111.74131
764,67.355515
765,30.580963
766,45.769276
767,-1.8226818
768,7.9188304
769,8.706782
770,66.47929
771,69.33925
772,333.26395
773,525.23047
774,813.0918
775,917.7599
776,971.077
777,943.4315
778,901.72754
779,728.0046
780,478.00836
781,333.1231
782,153.22466
783,118.56168
784,72.21562
785,59.586765
786,48.131092
787,66.51483
788,44.374638
789,29.011545
790,30.256538
791,23.94838
792,1.6284099
793,16.971231
794,63.464214
795,64.42843
796,306.11014
797,633.4813
798,731.341
799,922.5024
800,998.3924
801,990.11273
802,886.1657
803,826.462
804,605.91125
805,409.15723
806,174.98679
807,107.38733
808,79.34575
809,58.881107
810,69.83878
811,44.217773
812,1.9960166
813,-6.35407
814,47.18693
815,38.43388
816,52.064037
817,58.544476
818,38.221725
819,159.30867
820,380.6867
821,618.1381
822,828.2673
823,897.38574
824,967.7455
825,925.6994
826,625.3958
827,625.8118
828,528.4839
829,186.16434
830,48.705135
831,103.4892
832,73.16177
833,38.41375
834,94.65362
835,46.984383
836,35.180637
837,14.28696
838,36.03594
839,1.769326
840,47.43156
841,13.974698
842,14.895758
843,177.74977
844,356.30725
845,526.7624
846,803.99994
847,854.2573
848,797.18475
849,919.1378
850,799.80396
851,755.519
852,592.2369
853,392.0478
854,115.34556
855,60.164917
856,32.81746
857,30.263416
858,2.4474204
859,36.17039
860,30.042446
861,3.939543
862,8.16794
863,12.696039
864,-0.014348738
865,12.194956
866,48.5207
867,96.987335
868,308.65714
869,658.5208
870,758.4399
871,959.3429
872,920.3216
873,982.42804
874,867.902
875,759.8918
876,568.56995
877,400.0428
878,131.72017
879,92.93674
880,48.00962
881,60.25002
882,109.92725
883,46.869854
884,29.721968
885,37.073414
886,6.4506745
887,-3.818924
888,36.373703
889,11.287726
890,15.411957
891,127.56912
892,313.6852
893,591.89886
894,841.94464
895,1020.0889
896,984.5527
897,975.6188
898,913.70264
899,794.53815
900,576.1325
901,426.095
902,142.2297
903,70.9144
904,46.00015
905,28.876232
906,53.177113
907,66.13581
908,100.703926
909,94.88382
910,75.16593
911,137.78276
912,21.511166
913,3.4559245
914,63.005127
915,101.55863
916,317.3942
917,708.1905
918,700.4356
919,771.7209
920,725.0022
921,844.2825
922,684.36395
923,786.7678
924,579.67267
925,306.88242
926,160.94775
927,74.9908
928,36.076458
929,64.27288
930,47.534306
931,54.715694
932,29.99617
933,11.191775
934,33.33722
935,22.17657
936,27.026855
937,20.239626
938,21.263134
939,144.30841
940,340.9015
941,564.1168
942,791.37897
943,908.31085
944,981.58075
945,982.7674
946,920.20056
947,843.86816
948,642.3458
949,330.79117
950,142.84435
951,71.69571
952,88.44773
953,54.06672
954,44.036686
955,45.754105
956,31.231764
957,16.740105
958,25.85054
959,20.781494
960,7.511274
961,42.166824
962,39.431747
963,109.52729
964,272.8952
965,574.6565
966,797.0546
967,897.91266
968,959.5634
969,986.4698
970,914.62067
971,778.8593
972,671.5779
973,472.5013
974,157.84158
975,79.9375
976,34.653156
977,-7.6877937
978,6.118675
979,2.2393782
980,2.6277332
981,4.337964
982,17.298645
983,21.99509
984,8.90772
985,20.164553
986,19.503544
987,144.05026
988,411.10437
989,633.92993
990,807.2052
991,866.3397
992,985.5923
993,983.53564
994,898.54407
995,837.2157
996,627.4046
997,474.21603
998,105.26044
999,111.665596
1000,65.75492
1001,52.769764
1002,66.72171
1003,19.79999
1004,15.701193
1005,73.51591
1006,48.14664
1007,37.744797
1008,69.791275
1009,15.8042965
1010,53.097385
1011,174.61775
1012,309.68
1013,618.38983
1014,844.3905
1015,992.4404
1016,1007.52466
1017,998.57135
1018,915.7444
1019,835.80853
1020,721.3247
1021,518.88916
1022,155.51086
1023,11.861215
1024,50.65707
1025,63.385925
1026,66.71473
1027,70.295494
1028,104.65755
1029,53.33304
1030,40.495625
1031,75.41578
1032,71.80989
1033,8.391946
1034,81.51418
1035,152.13814
1036,302.77438
1037,530.8018
1038,820.2389
1039,928.84607
1040,969.14343
1041,956.19055
1042,897.46075
1043,796.4554
1044,574.0438
1045,378.63843
1046,124.78539
1047,94.313965
1048,77.420975
1049,80.71611
1050,74.91847
1051,73.37766
1052,145.56862
1053,79.59679
1054,91.74066
1055,91.51096
1056,39.3879
1057,69.79923
1058,104.93446
1059,105.08516
1060,413.87418
1061,562.89197
1062,842.4192
1063,965.6062
1064,928.0272
1065,963.2784
1066,906.0256
1067,827.9797
1068,585.7461
1069,489.66266
1070,151.67188
