,balsa-laguna
0,142.51411
1,157.41101
2,139.93298
3,157.96597
4,129.42564
5,10.144652
6,-4.159658
7,-9.511424
8,8.65126
9,7.611085
10,-0.66433203
11,0.90576375
12,0.33533388
13,-4.353514
14,-8.308211
15,11.470251
16,127.96261
17,198.17984
18,183.76967
19,183.30632
20,183.46375
21,114.29816
22,94.76636
23,183.65674
24,49.25239
25,-3.5136187
26,3.2938921
27,0.9426064
28,-0.5139583
29,-1.073202
30,-2.8780553
31,-1.096648
32,-0.6386174
33,1.1847122
34,7.844118
35,-9.123948
36,-0.80451906
37,5.4886208
38,61.601006
39,135.6069
40,140.18694
41,140.59097
42,103.310135
43,94.751625
44,82.45054
45,72.63941
46,77.81269
47,38.59154
48,-3.986062
49,13.594019
50,0.4249739
51,6.673441
52,3.5977612
53,10.699137
54,9.627628
55,-10.344503
56,46.71493
57,9.018371
58,9.921258
59,6.838683
60,30.77931
61,18.690353
62,52.54128
63,183.95004
64,241.4479
65,416.04535
66,432.59918
67,467.2187
68,234.26213
69,320.71436
70,161.26263
71,91.09398
72,-3.7534418
73,-0.5246382
74,3.2487087
75,7.111663
76,11.766964
77,4.495533
78,-9.598223
79,11.351139
80,4.943023
81,2.6032052
82,2.059798
83,9.192955
84,5.7317114
85,1.4197991
86,19.284222
87,103.24322
88,186.84929
89,267.63055
90,207.1885
91,73.32443
92,116.85802
93,122.054794
94,119.00542
95,56.636585
96,0.84431607
97,-2.0858552
98,-7.001176
99,16.962856
100,13.165328
101,2.0763495
102,6.812942
103,0.37388876
104,9.668866
105,-17.272194
106,4.505208
107,6.3829527
108,-18.07208
109,-21.295204
110,35.197674
111,91.90019
112,140.4786
113,132.52493
114,157.60912
115,197.36462
116,141.6874
117,106.74438
118,78.79924
119,55.60547
120,14.307047
121,3.1700878
122,4.6738825
123,5.9733534
124,2.8589897
125,22.90998
126,3.2657797
127,-7.6682854
128,11.406511
129,9.2605715
130,-3.8980336
131,-16.899967
132,-6.733983
133,31.628695
134,16.494724
135,102.465675
136,250.68657
137,263.961
138,236.7061
139,325.17822
140,254.17307
141,172.09062
142,198.50569
143,177.00839
144,18.07958
145,-3.7158413
146,9.402811
147,-2.4058275
148,5.943169
149,1.368196
150,-4.032724
151,-2.1156719
152,-3.4271245
153,-3.89038
154,-0.3608665
155,-0.16332284
156,0.79329646
157,-8.374327
158,-9.333566
159,102.95179
160,166.29709
161,295.92328
162,169.12912
163,189.21443
164,91.2842
165,78.97917
166,106.79827
167,28.854544
168,-6.784926
169,5.8143277
170,-0.38951474
171,-1.0928919
172,1.2979404
173,-2.3209321
174,9.8098
175,2.5284004
176,1.8392849
177,-14.832907
178,14.717106
179,36.335896
180,58.068462
181,26.553797
182,52.227833
183,126.72
184,120.02677
185,117.2875
186,79.249916
187,195.81921
188,94.56034
189,90.69028
190,107.995964
191,42.46424
192,-13.696986
193,8.19162
194,-4.219559
195,-4.36402
196,-7.222629
197,25.481705
198,-29.705112
199,-5.747201
200,-12.069578
201,-12.853743
202,18.179533
203,-17.515932
204,-11.23925
205,-23.307188
206,13.989089
207,138.82373
208,247.56436
209,315.0695
210,274.8517
211,310.9857
212,324.0759
213,244.09528
214,140.44865
215,29.742332
216,-10.8653965
217,-9.888155
218,-11.4193535
219,16.571564
220,-5.0133324
221,-1.806873
222,-25.468021
223,-6.084661
224,-15.799231
225,-12.7381735
226,-3.2742863
227,-6.8884664
228,-0.014781237
229,7.740764
230,7.9424186
231,147.78073
232,301.41162
233,414.3409
234,384.15558
235,382.30875
236,253.14809
237,55.018715
238,14.092014
239,290.95355
