,bodeganorte
0,453.18903
1,395.64157
2,365.6966
3,188.2952
4,117.77471
5,13.838089
6,0.6830029
7,1.8913187
8,1.5513548
9,-3.1404157
10,-2.4034042
11,-1.9087838
12,-1.7605973
13,1.3473041
14,2.0637293
15,-0.9365822
16,18.606148
17,114.425514
18,252.47948
19,286.48206
20,343.11655
21,340.0645
22,364.73697
23,334.73602
24,157.05614
25,119.47385
26,6.6210356
27,4.8998437
28,8.863321
29,-1.6285594
30,12.957503
31,3.1795516
32,-3.702489
33,-13.290915
34,-1.999009
35,-2.145597
36,-5.3092046
37,-11.647183
38,-10.0118685
39,126.295975
40,307.9685
41,352.53732
42,272.3328
43,238.52327
44,180.88487
45,128.59213
46,92.980804
47,90.51036
48,10.035091
49,9.824578
50,14.302504
51,13.477628
52,9.0726385
53,-0.81695414
54,-3.9486666
55,-0.7956641
56,-1.2689037
57,-4.4667244
58,4.3331947
59,-1.0975978
60,-2.840261
61,136.16916
62,234.04932
63,354.8123
64,404.5503
65,318.63123
66,332.23996
67,308.24664
68,237.31482
69,-1.9084731
70,-4.3086357
71,279.7009
72,264.9893
73,263.5265
74,370.8858
75,344.28497
76,206.57758
77,112.40119
78,82.82102
79,37.673573
80,10.622661
81,1.4410719
82,-6.3199825
83,-5.344885
84,7.52719
85,13.056397
86,19.975914
87,27.124939
88,-26.362461
89,-0.4765054
90,-90.61734
91,-29.755428
92,126.05001
93,309.0471
94,399.3729
95,410.5154
96,376.58862
97,470.67844
98,399.42264
99,77.33243
100,89.90049
101,3.947209
102,-5.901357
103,3.746986
104,-7.9655
105,-0.016495824
106,4.000118
107,-1.6250225
108,1.9526585
109,-1.4294567
110,-2.1194303
111,-9.240427
112,-14.001333
113,139.13652
114,324.20786
115,278.76724
116,211.81328
117,231.7039
118,152.19899
119,194.00473
120,194.12419
121,140.34914
122,-7.1318927
123,3.4049268
124,-0.24768905
125,17.261211
126,12.031695
127,8.946304
128,-5.450387
129,-2.7528102
130,-1.2996382
131,-6.9034705
132,0.04628107
133,40.047672
134,146.1955
135,229.29852
136,321.25198
137,287.75085
138,139.83093
139,54.3642
140,110.16595
141,112.94691
142,21.717766
143,8.161647
144,5.4738574
145,3.4886546
146,4.1407466
147,-15.792635
148,23.883785
149,-2.6339831
150,-10.60203
151,-0.5944444
152,-7.529776
153,-0.77105856
154,-69.59393
155,29.280334
156,163.35683
157,286.47
158,406.16745
159,397.81784
160,354.72363
161,266.81555
162,262.7607
163,142.52107
164,63.839176
165,-7.732392
166,7.892475
167,10.723969
168,12.874601
169,13.970924
170,5.827689
171,-4.3696647
172,0.89037514
173,-3.1260796
174,-3.5638442
175,-1.2811987
176,-0.55039406
177,-8.826194
178,140.97812
179,295.19153
180,429.57086
181,331.20145
182,446.64142
183,302.28345
184,245.25664
185,107.25604
186,165.01988
187,32.622803
188,34.324825
189,5.4211473
190,10.551298
191,-9.351431
192,14.242294
193,1.3769555
194,-5.8796806
195,-4.4826493
196,-4.688593
197,-4.4735174
198,133.54617
199,258.5839
200,392.36118
201,271.6611
202,187.56764
203,129.48885
204,81.5418
205,107.96047
206,179.24101
207,6.1814027
208,2.971242
209,8.887285
210,35.917923
211,3.8471146
212,9.774583
213,-0.7122278
214,-1.8532747
215,-0.2371755
216,2.3640063
217,-4.5890813
218,-0.84446275
219,201.23708
220,349.00082
221,284.55615
222,271.90298
223,430.10873
224,297.50476
225,179.87003
226,120.13627
227,37.598972
228,-6.094309
229,4.0895185
230,-0.56543005
231,-0.909132
232,17.85278
233,28.863983
234,-12.959288
235,5.9484606
236,-1.3742368
237,-2.9450707
238,-1.3260888
239,183.05493
240,220.95833
241,109.77569
242,133.73837
243,44.045006
244,59.28992
245,-3.918922
246,-10.116573
247,-35.714886
248,-8.525979
249,-13.285392
250,-11.185066
251,-1.8274695
252,-3.7792165
253,-10.516245
254,-1.286484
255,-4.9765954
256,302.00677
257,392.20337
258,451.37997
259,394.08777
260,346.5847
261,284.3267
262,184.59297
263,112.40578
264,10.58602
265,5.4988327
266,-0.40535235
267,4.4831486
268,-0.4009812
269,-1.529462
270,2.663508
271,2.6174884
272,0.6708418
273,-2.4583187
274,-1.212348
275,0.9735935
276,35.256435
277,109.79714
278,325.33286
279,378.80695
280,443.07047
281,465.84164
282,505.07443
283,437.6362
284,188.89198
285,87.278366
286,31.016487
287,-1.294763
288,-0.8842846
289,-2.141693
290,3.5649145
291,0.52336806
292,2.7623062
293,1.1275587
294,1.8464875
295,1.5786526
296,4.1679153
297,3.0982816
298,146.68475
299,320.4459
300,345.4701
301,522.9898
302,465.71207
303,439.3877
304,433.3558
305,181.91743
306,91.63369
307,19.155317
308,-8.891265
309,-0.11077587
310,3.0249312
311,-5.3996134
312,4.4860554
313,3.1139982
314,0.105213776
315,1.3487724
316,-0.09537342
317,-1.9198495
318,31.025291
319,145.92383
320,315.9524
321,467.6151
322,511.20197
323,499.9137
324,468.98544
325,427.3167
326,170.2158
327,106.48672
328,21.980133
329,11.602889
330,13.124371
331,11.254616
332,14.083485
333,9.407714
334,-1.8097317
335,-1.3370394
336,-0.72668064
337,-2.838927
338,-0.17739564
339,-2.4057097
340,54.00353
341,198.14009
342,338.01923
343,407.93332
344,639.9587
345,533.1454
346,437.10455
347,371.12408
348,169.06421
349,83.25406
350,4.8502994
351,-0.2640013
352,-0.6833518
353,-1.3567766
354,-0.2774505
355,31.479097
356,-8.622939
357,-3.3887029
358,5.6878505
359,-3.5620608
360,-2.1375833
361,62.724815
362,170.459
363,327.36902
364,428.83334
365,544.83527
366,552.71924
367,422.08585
368,424.62045
369,204.89476
370,124.52679
371,6.0035453
372,-6.1150694
373,-9.403909
374,2.1193278
375,-11.517495
376,-19.082476
377,-6.934335
378,-6.0599504
379,-1.2431164
380,0.9134014
381,-4.6470327
382,-4.0670533
383,40.236195
384,177.1662
385,446.9324
386,666.09985
387,686.92596
388,670.2682
389,634.5509
390,448.01587
391,265.89972
392,179.98813
393,16.004541
394,23.571533
395,20.439861
396,2.929127
397,4.4236016
398,-10.317854
399,-5.265057
400,12.331878
401,2.498869
402,-3.4671946
403,14.612006
404,-9.382184
405,185.22421
406,311.09518
407,536.8079
408,471.542
409,486.18112
410,330.01617
411,226.51262
412,-13.469283
413,68.10749
414,35.291046
415,-6.566764
416,81.0557
417,55.17366
