,cabildo
0,608.0053
1,538.16376
2,424.89038
3,201.6151
4,98.17038
5,-4.6087947
6,16.448265
7,9.638619
8,18.001501
9,5.8040805
10,-2.9457831
11,3.8023877
12,-8.357553
13,65.09345
14,7.6757565
15,-4.1923137
16,-2.2942035
17,8.189715
18,-0.27808085
19,60.348335
20,356.5007
21,576.825
22,689.4142
23,683.1296
24,706.2654
25,535.42255
26,463.00748
27,279.6927
28,102.895744
29,19.193968
30,23.635542
31,14.669254
32,16.92068
33,-3.9670696
34,22.688717
35,22.023354
36,19.92009
37,5.451705
38,3.4480836
39,-5.2906446
40,7.394454
41,-7.1811233
42,-7.4707313
43,135.81433
44,324.3628
45,496.42038
46,711.31647
47,694.9409
48,649.69244
49,610.3324
50,417.48932
51,250.84949
52,152.81609
53,42.467464
54,59.024128
55,9.875822
56,10.95596
57,9.320871
58,2.7038693
59,12.97083
60,-9.212439
61,18.29698
62,4.6803274
63,0.8153358
64,-0.88372004
65,-11.943666
66,-19.58771
67,52.945103
68,351.777
69,525.31604
70,637.7335
71,700.9135
72,749.74475
73,560.5718
74,371.1465
75,282.9158
76,187.7875
77,30.345884
78,16.688202
79,36.184734
80,-8.647617
81,42.968998
82,32.827297
83,9.085787
84,-9.0972
85,15.337858
86,-1.1784166
87,30.190855
88,27.128042
89,28.378227
90,-8.697107
91,72.70259
92,289.90338
93,487.1483
94,607.50323
95,606.7866
96,641.0608
97,514.94586
98,436.74475
99,262.30298
100,147.03119
101,13.600162
102,10.719604
103,-37.56454
104,-7.3140354
105,0.08302683
106,-0.009395301
107,4.766273
108,25.217411
109,11.22806
110,37.49413
111,29.8959
112,69.06937
113,-19.723288
114,-42.16765
115,97.4469
116,309.19238
117,500.0492
118,732.9929
119,702.64014
120,783.6023
121,593.7705
122,471.5216
123,219.42014
124,88.73156
125,24.947727
126,-1.1917173
127,-6.0735955
128,-14.5711565
129,-11.040091
130,24.830807
131,-3.103657
132,-4.9668107
133,-0.15797436
134,-9.318053
135,19.755526
136,-5.173686
137,8.595606
138,-10.090832
139,65.15688
140,336.70245
141,425.71005
142,653.1503
143,735.25824
144,704.4861
145,564.47815
146,425.4723
147,255.8167
148,33.805573
149,9.785818
150,10.806971
151,-3.9687939
152,7.2523003
153,-0.5130453
154,7.155418
155,6.2070355
156,5.8649774
157,4.3468475
158,0.4603137
159,9.634751
160,20.385937
161,6.270155
162,21.74655
163,90.6591
164,355.88995
165,562.77167
166,610.0652
167,599.9461
168,573.805
169,502.5949
170,422.83694
171,310.08185
172,184.18684
173,9.605359
174,19.561403
175,0.97076863
176,1.6769832
177,3.0333126
178,-16.997332
179,13.149972
180,16.741047
181,18.530045
182,50.26974
183,23.98097
184,-20.33529
185,-30.07536
186,53.17577
187,85.3716
188,335.96014
189,542.82117
190,688.1368
191,693.9239
192,721.2853
193,605.1044
194,422.79724
195,281.72424
196,151.84433
197,-0.5538094
198,33.97055
199,-21.313036
200,-7.082435
201,-11.76074
202,36.544334
203,14.363262
204,7.638629
205,-6.4474626
206,-37.997154
207,-14.822134
208,2.0388916
209,50.37146
210,-4.9456115
211,69.38055
212,285.72015
213,476.76556
214,648.7219
215,656.4237
216,673.5003
217,531.22925
218,433.907
219,227.86577
220,145.35541
221,8.383105
222,14.518277
223,2.58222
224,-4.762107
225,-2.3324304
226,4.1984
227,16.628614
228,-7.8242354
229,4.8768797
230,-24.210228
231,8.41611
232,34.087776
233,-6.5372047
234,10.780712
235,61.68632
236,311.48166
237,505.22772
238,585.4023
239,680.1065
240,617.73505
241,552.1562
242,432.42194
243,269.72687
244,152.85834
245,-45.041637
246,-3.7374024
247,-1.4444633
248,-13.805692
249,30.29015
250,6.97584
251,47.10167
252,11.851532
253,-8.695299
254,32.4478
255,-28.018059
256,25.372778
257,-22.455887
258,20.410046
259,61.221615
260,310.96338
261,557.3863
262,655.3517
263,748.8155
264,731.7202
265,610.4854
266,497.70325
267,262.76892
268,164.97023
269,22.618624
270,29.509378
271,37.456654
272,16.27876
273,17.242167
274,-3.117711
275,38.176464
276,29.859812
277,20.02701
278,11.870052
279,24.027044
280,-35.26489
281,-26.420935
282,-59.358505
283,106.15457
284,346.08014
285,459.23645
286,564.068
287,592.76886
288,390.9552
289,419.70868
290,316.7851
291,162.54715
292,47.663803
293,-93.033936
294,-109.994835
295,-101.69863
296,-101.8965
297,-98.55796
298,-108.87189
299,11.82235
300,8.520629
301,22.491032
302,24.5926
303,74.160614
304,22.658554
305,-0.4266091
306,4.4607334
307,103.22458
308,294.72757
309,481.9524
310,590.4183
311,637.00806
312,644.31976
313,534.9713
314,399.81894
315,239.25458
316,106.09168
317,30.475317
318,27.03837
319,20.316113
320,13.633679
321,7.4833856
322,1.5431844
323,-1.0538188
324,-13.615182
325,-10.236767
326,-10.060737
327,-36.847267
328,-16.98804
329,-17.061312
330,3.6473036
331,40.756226
332,269.19452
333,436.99576
334,543.93506
335,613.9765
336,634.435
337,570.7677
338,389.03772
339,233.67181
340,77.90399
341,-7.316312
342,18.703447
343,-19.539797
344,-33.985764
345,-6.59352
346,-11.51893
347,-13.38135
348,-11.2534685
349,1.9155092
350,-6.6493435
351,-11.683248
352,-15.605941
353,-7.0777893
354,0.42549598
355,61.2033
356,246.93602
357,486.17114
358,553.1427
359,596.5565
360,657.7086
361,526.5662
362,421.23053
363,286.16907
364,45.726192
365,-3.8880186
366,-30.979584
367,-19.678524
368,-19.933052
369,-18.834356
370,-15.325674
371,22.141792
372,3.2724118
