,centrovis-aemet
0,569.1686
1,541.802
2,456.13614
3,210.94263
4,124.36293
5,5.5643387
6,0.5483273
7,-0.48932636
8,-1.1870055
9,-13.588206
10,-13.588206
11,-4.3814692
12,-5.564373
13,0.69031835
14,-6.8359885
15,-11.562378
16,-8.723414
17,-9.5872555
18,-5.0189543
19,-14.627171
20,122.32511
21,453.5456
22,552.67035
23,498.30115
24,457.1817
25,483.2411
26,398.4348
27,210.33891
28,67.951294
29,-5.445244
30,2.1903312
31,-4.394396
32,6.861292
33,5.49379
34,4.6095195
35,1.357532
36,-0.64564264
37,-1.4938188
38,-3.7216253
39,-4.7448444
40,-0.49609342
41,-9.912584
42,1.910408
43,12.050523
44,123.237724
45,433.44293
46,528.3148
47,438.82086
48,354.69788
49,466.34964
50,271.14374
51,178.15965
52,125.53455
53,23.891962
54,16.632154
55,12.255508
56,12.61938
57,1.3902247
58,13.652528
59,-6.7483754
60,0.81429243
61,6.120214
62,7.61332
63,10.208421
64,11.019296
65,15.319854
66,14.558063
67,-10.650437
68,201.48798
69,353.12778
70,528.80054
71,553.636
72,568.5801
73,512.8531
74,412.5639
75,143.41568
76,112.04554
77,7.0037484
78,-88.01593
79,-37.05669
80,-17.763376
81,-48.699112
82,-19.684105
83,9.956958
84,-11.476777
85,-7.7841887
86,11.237615
87,-12.921909
88,13.104117
89,10.382409
90,12.766944
91,2.1919408
92,170.62115
93,513.6069
94,525.97034
95,541.396
96,487.4544
97,439.96793
98,341.36298
99,134.34984
100,1.4133463
101,17.255333
102,24.928951
103,-10.265728
104,-34.353893
105,-25.92672
106,-2.5660663
107,3.2222674
108,11.137753
109,-16.549234
110,0.2617688
111,-15.605379
112,-3.881327
113,-11.498301
114,13.61752
115,15.601497
116,233.55164
117,442.95483
118,555.1589
119,545.69037
120,341.0229
121,361.67557
122,336.96527
123,122.998955
124,125.50288
125,18.039104
126,-1.0312105
127,-10.648202
128,-1.8436073
129,3.6864395
130,-2.8394792
131,-6.961015
132,-0.65120256
133,-1.8469924
134,-4.8827505
135,-2.105999
136,-0.056806475
137,-3.1615493
138,-1.3427835
139,0.5896578
140,214.47333
141,391.31174
142,410.97324
143,400.3853
144,473.6282
145,122.49159
146,274.65564
147,146.2873
148,79.1507
149,-7.006495
150,-9.353286
151,11.241492
152,19.388443
153,18.532497
154,17.027554
155,1.4403819
156,-0.21060735
157,1.9593481
158,-4.3491015
159,2.3162344
160,0.47189334
161,1.491113
162,6.4054794
163,-12.044355
164,170.46527
165,261.3998
166,316.06332
167,443.4748
168,402.84833
169,302.49792
170,260.55536
171,154.1489
172,84.571976
173,16.782663
174,13.48294
175,5.3007116
176,4.893612
177,12.133836
178,-34.686928
179,-2.8273935
180,3.380203
181,-24.231224
182,-6.4978347
183,3.8443155
184,11.17212
185,17.579224
186,21.681843
187,7.3780336
188,106.58447
189,363.35
190,437.25076
191,403.76712
192,474.04358
193,369.37863
194,369.17712
195,237.91112
196,18.52209
197,-88.903984
198,-11.58566
199,-27.922348
200,-16.066406
201,-21.071482
202,1.0073354
203,23.479336
204,-3.0771465
205,40.410297
206,-9.374
207,4.469895
208,17.091396
209,1.8768162
210,-29.313057
211,35.280018
212,141.97162
213,338.31305
214,375.19305
215,363.88034
216,401.73553
217,400.14035
218,364.31866
219,212.55608
220,71.64065
221,-35.348553
222,-20.342798
223,-31.742933
224,0.18247539
225,-21.747234
226,-25.703796
227,3.7723136
228,-12.53997
229,7.6846814
230,43.55906
231,-12.462823
232,-17.720152
233,41.40719
234,103.083374
235,93.24187
236,216.23357
237,429.6205
238,426.14194
239,387.56195
240,469.9678
241,321.22607
242,290.31442
243,128.96552
244,28.53118
245,-49.11953
246,-48.75076
247,-33.97696
248,-29.078634
249,12.837316
250,-41.567642
