,centrovis-cab
0,532.96796
1,484.32166
2,417.7315
3,200.34267
4,123.1688
5,-2.3822138
6,-0.6544663
7,-1.4795488
8,11.008516
9,-0.26752782
10,6.044506
11,-10.02007
12,-4.1214333
13,-8.864064
14,-1.2977364
15,-10.674869
16,2.1192174
17,-8.862847
18,-14.021454
19,-13.260171
20,129.92671
21,436.95145
22,610.5111
23,531.71967
24,441.83667
25,426.12766
26,248.96115
27,149.01239
28,88.168015
29,-8.955691
30,1.8718663
31,1.6430485
32,3.8615813
33,6.3788524
34,-3.1403558
35,-3.2224596
36,-3.0692067
37,-3.5424519
38,1.651722
39,-0.71336436
40,-1.0777128
41,-6.485064
42,-5.1006703
43,46.311134
44,110.32405
45,224.241
46,451.95715
47,401.0606
48,243.26358
49,319.68118
50,158.07875
51,115.44215
52,91.12678
53,-5.552828
54,-4.6628747
55,1.7517847
56,5.706494
57,3.9087677
58,5.8128943
59,1.49876
60,-1.5912523
61,2.0994136
62,0.039851442
63,-2.7601187
64,-1.7055619
65,0.63095784
66,19.156937
67,66.4161
68,199.07231
69,220.46573
70,430.00522
71,456.0813
72,484.40472
73,300.32532
74,253.25087
75,148.32838
76,97.118835
77,17.303446
78,4.965982
79,19.460974
80,9.282352
81,8.436377
82,-9.964005
83,-8.612746
84,-3.346239
85,2.1270218
86,-12.025004
87,-0.948364
88,-5.976645
89,14.754042
90,0.25038725
91,-8.500527
92,138.24347
93,447.3541
94,476.04727
95,503.276
96,542.4084
97,402.50922
98,290.05505
99,127.46845
100,55.592762
101,7.3225584
102,-0.48601806
103,0.615659
104,-12.148471
105,3.607986
106,-8.502764
107,29.660048
108,-2.0556107
109,-7.822415
110,-6.8857465
111,-32.938168
112,-56.43052
113,-6.699727
114,4.526394
115,13.406149
116,138.90044
117,312.02438
118,427.53485
119,431.73245
120,307.98697
121,250.73096
122,171.77519
123,91.32534
124,131.5076
125,3.7646716
126,7.1363497
127,-4.3170853
128,3.3298624
129,2.3896556
130,-7.39581
131,-3.0046594
132,1.5907308
133,-6.816391
134,-9.145906
135,-7.8889337
136,-3.5271986
137,0.47815648
138,6.4831343
139,39.314213
140,108.71379
141,255.61346
142,417.23492
143,415.80896
144,405.64825
