,eltime
0,506.34058
1,505.35614
2,440.47913
3,155.52144
4,98.75898
5,16.96981
6,5.837779
7,4.5365763
8,-8.376046
9,0.21479945
10,4.044747
11,4.968595
12,0.61468434
13,6.200402
14,8.6781645
15,-3.5144968
16,2.675558
17,-1.1358105
18,0.9978019
19,21.615023
20,159.12563
21,342.13098
22,521.7877
23,541.139
24,657.1151
25,497.12448
26,438.07156
27,275.66498
28,71.51402
29,-0.6169194
30,6.048052
31,-0.80780613
32,-1.9226977
33,-8.365042
34,1.392344
35,1.4482459
36,0.65827584
37,2.9083216
38,-7.578042
39,-0.7341484
40,1.4825664
41,1.6459867
42,13.395411
43,10.002953
44,200.39635
45,407.55994
46,612.2068
47,455.62778
48,476.46384
49,532.1267
50,516.8143
51,274.04788
52,103.37028
53,43.421093
54,39.948692
55,41.188442
56,37.090443
57,41.444115
58,40.772102
59,0.7931024
60,9.708614
61,-0.9748931
62,0.34896547
63,-0.86408687
64,1.9680626
65,6.03828
66,-6.8607917
67,1.0539938
68,143.08818
69,219.33218
70,572.8242
71,478.14117
72,555.44006
73,474.84
74,220.93333
75,146.19638
76,114.83713
77,2.1940396
78,2.644015
79,18.072186
80,-20.610622
81,13.822325
82,4.680363
83,-4.5742726
84,-1.6971109
85,-3.499261
86,16.769966
87,-1.0597864
88,2.7745488
89,-4.0623984
90,0.14756343
91,21.920536
92,158.09727
93,500.22043
94,511.05923
95,420.77115
96,565.1368
97,541.3124
98,459.82263
99,211.17932
100,139.55322
101,-18.847506
102,-11.012981
103,4.23933
104,13.215831
105,9.721468
106,0.08793332
107,-1.2705545
108,-2.727131
109,2.9800022
110,1.2339629
111,-10.153949
112,2.498311
113,0.11092277
114,-5.377655
115,77.33803
116,141.54791
117,187.37003
118,556.0517
119,381.2269
120,566.61316
121,530.48615
122,477.2575
123,223.942
124,72.21471
125,-3.6203809
126,-1.7422612
127,-0.5100415
128,3.4848962
129,0.86594474
130,-18.878777
131,-1.4148635
132,-1.1199421
133,-0.25956124
134,-0.66877866
135,0.08838606
136,-2.8491387
137,3.0151587
138,-3.090091
139,41.94457
140,136.99011
141,230.4341
142,532.9588
143,620.3132
144,511.54028
145,372.49374
146,402.30792
147,241.86322
148,76.24722
149,-3.4946582
150,1.7143948
151,5.443026
152,-1.5039471
153,5.2838
154,17.65893
155,-2.2310681
156,-1.178401
157,-0.3580656
158,36.3723
159,35.082485
160,34.296383
161,43.850105
162,30.951035
163,57.107803
164,234.28836
165,272.9139
166,429.5199
167,411.69165
168,291.99768
169,331.03442
170,146.91444
171,149.401
172,129.7435
173,39.019325
174,36.339523
175,22.813509
176,14.678795
177,10.118604
178,33.89543
179,-8.677952
180,-4.115011
181,-1.1058147
182,-2.049701
183,-11.734421
184,-2.172722
185,-5.124532
186,-3.617969
187,21.839457
188,154.56595
189,331.43958
190,561.1147
191,589.44293
192,510.29788
193,539.319
194,364.4237
195,162.29373
196,137.17552
197,21.072603
198,24.592001
199,14.926545
200,22.196836
201,9.846664
202,13.790555
203,-2.9371085
204,5.923736
205,-6.0891213
206,-9.303586
207,-9.097195
208,3.4363885
209,4.845742
210,-2.4867687
211,65.253784
212,197.74924
213,273.6039
214,527.5394
215,520.5225
216,519.1773
217,504.84277
218,416.0525
219,103.16271
220,81.4346
221,-0.9147366
222,2.9461615
223,2.5226762
224,3.5294461
225,1.2548232
226,2.2266214
227,3.141304
228,6.067288
229,3.6338542
230,5.525739
231,-0.37000397
232,16.116854
233,-20.40367
234,16.088394
235,32.139496
236,227.80728
237,466.54605
238,457.08902
239,446.0287
240,364.40057
241,271.95407
242,193.82251
243,117.211655
244,105.92709
245,32.10173
246,30.462734
247,-3.7583222
248,39.007504
249,35.319054
250,36.692875
251,-6.656883
252,-11.072069
253,-6.810882
254,4.8234916
255,1.2887722
256,-6.5436244
257,2.5312612
258,17.367008
259,24.24364
260,261.47464
261,341.3903
262,547.75195
263,542.4611
264,508.41818
265,512.327
266,344.64328
267,87.739174
268,63.47014
269,3.1007433
270,3.8590264
271,-8.911898
272,2.8257365
273,6.3563285
274,-0.63849294
275,4.4661546
276,-0.9188579
277,-5.117561
278,-15.092149
279,12.711892
280,8.624293
281,20.009785
282,4.4685364
283,31.548382
284,130.75902
285,137.87526
286,315.6895
287,415.18387
288,214.16911
289,258.2943
290,254.62077
291,132.98016
292,151.83366
293,4.7879305
294,17.09526
295,0.82318306
296,-13.891906
297,-8.83452
298,-10.900337
299,-6.5658627
300,-3.143348
301,-0.710734
302,-7.53772
303,8.2285385
304,5.0472074
305,-0.62897724
306,-1.6087104
307,35.529926
308,131.00378
309,409.8949
310,520.3361
311,574.1358
312,563.65643
313,475.2522
314,375.06213
315,194.8253
316,35.909657
317,4.063809
318,-2.3836873
