,fagundo
0,606.3161
1,537.4868
2,427.1657
3,247.04301
4,79.30362
5,12.565799
6,1.5748845
7,-21.019386
8,-0.21224438
9,33.597664
10,-5.0589795
11,-1.3038884
12,-0.2695384
13,-0.34524906
14,-1.7543584
15,-1.3437173
16,3.6556137
17,4.1115212
18,17.6714
19,29.25666
20,204.61945
21,508.7826
22,496.81262
23,600.88403
24,615.18445
25,504.65936
26,439.9185
27,225.80438
28,137.8417
29,28.961533
30,-2.9262383
31,3.3742836
32,-2.9767027
33,3.2256994
34,-1.9321581
35,1.6479367
36,10.114356
37,-1.0519701
38,3.539075
39,7.8418164
40,-1.6691008
41,-0.098679304
42,-0.71192837
43,17.070086
44,183.41685
45,220.65239
46,301.60294
47,367.08047
48,363.93164
49,480.46533
50,467.48172
51,153.02887
52,93.74039
53,13.418843
54,2.075927
55,5.1662564
56,2.6198509
57,3.0165064
58,7.152165
59,4.8642316
60,1.0844691
61,1.9692069
62,-3.0415556
63,-3.6627305
64,0.2614939
65,2.3936877
66,-1.3589339
67,-5.034042
68,240.27328
69,380.21246
70,514.68207
71,528.3963
72,553.88446
73,520.7835
74,439.54462
75,176.92722
76,69.4157
77,5.8105574
78,-4.9009814
79,-5.7922497
80,-7.8432856
81,7.8267736
82,-10.728569
83,-4.383984
84,-5.6943717
85,-18.891045
86,5.4321465
87,13.352027
88,9.155448
89,4.306446
90,-5.799708
91,6.7994733
92,180.6799
93,442.97903
94,493.66568
95,488.2643
96,519.0383
97,413.56995
98,317.11017
99,148.97011
100,33.814568
101,7.8718953
102,4.5480165
103,1.3175774
104,19.286427
105,-16.65208
106,-25.398968
107,14.078748
108,27.957676
109,-10.626931
110,-26.47829
111,-15.65495
112,-34.29029
113,-27.105976
114,8.480762
115,39.288113
116,235.4848
117,414.33743
118,441.60748
119,492.41058
120,507.87552
121,538.60516
122,359.29156
123,95.373116
124,53.582207
125,21.387802
126,7.228175
127,21.349686
128,-26.312881
129,-18.021435
130,-12.361922
131,6.796922
132,8.234932
133,5.6816316
134,13.676649
135,-2.361422
136,4.556598
137,0.74826396
138,-14.922101
139,27.157429
140,203.41628
141,342.35153
142,333.2943
143,422.82285
144,415.35013
145,461.95853
146,403.02234
147,154.67363
148,148.755
149,-10.962258
150,2.4311917
151,-6.8769884
152,-5.7688003
153,-2.2459855
154,-7.129094
155,-1.367399
156,-3.6835399
157,-0.2848091
158,-8.407513
159,-8.338469
160,-5.9535913
161,3.0930092
162,-3.1706812
163,16.820026
164,155.6641
165,371.3699
166,355.2645
167,229.74606
168,267.6006
169,481.60767
170,335.59042
171,193.52505
172,129.20676
173,6.079339
174,-1.9212917
175,-7.2234244
176,3.9299822
177,7.1200023
178,-8.854842
179,-3.392975
180,-2.8841379
181,1.798943
182,-2.3307922
183,-11.651213
184,-2.714069
185,-9.747078
186,-8.766235
187,11.588685
188,195.74954
189,430.493
190,552.5191
191,588.54694
192,572.59753
193,330.6037
194,249.29137
195,92.5403
196,105.22708
197,-3.117577
198,-12.679511
199,-10.756628
200,-9.912498
201,-7.907895
202,-16.388998
203,1.3150593
204,-9.801431
205,-3.05189
206,-2.5438104
207,-8.638064
208,-11.160159
209,-3.41725
210,-17.828709
211,-3.9898973
212,246.12485
213,408.9524
214,395.66177
215,579.9847
216,594.94946
217,508.34436
218,383.16544
219,194.82431
220,109.33593
221,9.9535675
222,-8.06709
223,3.801117
224,-10.6253605
