,helipuerto
0,621.0894
1,637.41583
2,454.6261
3,393.17648
4,187.31595
5,71.03753
6,5.9160957
7,1.1834186
8,6.3005233
9,-3.4294543
10,-7.228912
11,0.4002654
12,-20.409943
13,-4.4298825
14,-4.860052
15,0.9261496
16,8.92793
17,-21.043373
18,18.292713
19,3.914977
20,74.00157
21,278.60675
22,436.48535
23,538.96454
24,473.4604
25,482.82535
26,489.42493
27,413.26123
28,192.73206
29,136.21245
30,-6.381005
31,-4.09263
32,16.583965
33,3.00386
34,14.737867
35,-8.984789
36,-2.8915548
37,-2.7588193
38,-5.218017
39,-0.5853069
40,-8.119935
41,-1.3652767
42,21.129879
43,3.9644654
44,55.680576
45,233.96791
46,482.6196
47,518.0832
48,518.32605
49,560.75696
50,469.60797
51,410.66205
52,255.9519
53,142.6422
54,-3.334351
55,18.54507
56,-3.7422547
57,3.3186738
58,5.591776
59,6.5954237
60,2.7865696
61,10.700499
62,13.959537
63,3.59942
64,10.934309
65,23.470608
66,-9.30448
67,47.359432
68,186.27441
69,221.29953
70,356.00385
71,520.55707
72,541.01764
73,490.96976
74,385.1069
75,297.97955
76,160.16183
77,92.5022
78,-5.436598
79,-1.9091451
80,5.3786497
81,16.994888
82,26.468477
83,9.161366
84,-40.064674
85,-9.184809
86,-10.926185
87,-4.0203075
88,-16.722536
89,-2.8097653
90,-10.945972
91,-2.4530966
92,29.949488
93,273.67435
94,457.72226
95,449.22736
96,578.0998
97,538.66956
98,449.10837
99,417.7019
100,215.38953
101,111.53323
102,6.165818
103,-0.21909182
104,5.1216974
105,-3.1677048
106,-3.9801621
107,0.66579384
108,7.777373
109,0.21376675
110,2.2517402
111,4.527427
112,1.8315309
113,-1.670421
114,1.6501759
115,16.484505
116,47.28195
117,145.05132
118,409.09174
119,429.75156
120,469.41232
121,522.9853
122,438.68176
123,390.779
124,236.91241
125,110.1955
126,9.588542
127,6.800427
128,1.6695117
129,-0.09160803
130,2.250878
131,7.1165423
132,5.0656104
133,-0.03818679
134,9.298768
135,3.0884295
136,1.8157533
137,-3.182475
138,0.6676401
139,17.132668
140,57.019646
141,323.62552
142,468.22717
143,484.58453
144,507.20013
145,517.9109
146,486.32977
147,355.8394
148,145.48303
149,145.0583
150,-1.8134788
151,1.6616927
152,22.267906
153,18.28276
154,-3.8520722
155,0.029912189
156,-2.8265665
157,13.390232
158,-0.95196015
159,1.1889302
160,0.34748876
161,2.9158983
162,1.8981735
163,24.713547
164,37.17861
165,310.60336
166,389.43777
167,453.25894
168,524.3663
169,537.5578
170,471.8315
171,451.9492
172,274.8775
173,132.98898
174,6.3657928
175,3.846643
176,-20.414404
177,7.299163
178,14.922751
179,1.5023714
180,-1.4876899
181,2.343975
182,-4.8997455
183,7.0351014
184,-5.183332
185,-0.50875866
186,4.803382
187,23.660088
188,40.171215
189,246.60417
190,433.78833
191,456.71017
192,502.59674
193,673.4369
194,442.81082
195,371.3047
196,238.62831
197,126.07282
198,11.195599
199,9.111102
200,3.6991801
201,16.983286
202,12.394515
203,-2.2088642
204,1.6074947
205,-2.2668533
206,-7.5476975
207,0.37232938
208,-0.4925923
209,-9.817438
210,-18.635616
211,-11.452004
212,45.212833
213,196.46906
214,353.2151
215,426.80884
216,455.07587
217,438.98825
218,364.4227
219,379.9703
220,211.1554
221,79.713394
222,4.705406
223,-2.2547464
224,-15.715397
225,-0.41869473
226,-17.718166
227,-5.318791
228,-12.801073
229,-7.5503025
230,-12.622122
231,3.837307
232,2.6464481
