,labombilla
0,650.5479
1,541.10754
2,419.3278
3,229.6026
4,128.49402
5,24.117607
6,7.7207017
7,1.411482
8,15.437715
9,3.0930707
10,2.9566758
11,-0.42235413
12,0.54836285
13,-0.93120205
14,5.157431
15,9.688825
16,6.9012485
17,-0.46957716
18,-0.137757
19,62.59879
20,297.19174
21,532.01514
22,664.2119
23,724.4832
24,679.26764
25,510.40433
26,391.8252
27,274.48868
28,109.60805
29,45.446514
30,18.101116
31,-8.113243
32,-19.574375
33,-10.205161
34,12.221527
35,25.030493
36,25.414524
37,4.373245
38,-4.7748904
39,26.204782
40,0.21968588
41,1.0697528
42,-0.040664345
43,84.09378
44,295.6957
45,508.75482
46,607.3046
47,624.7577
48,714.70386
49,510.4734
50,375.08035
51,231.72476
52,116.20891
53,21.211933
54,17.978539
55,9.990002
56,9.750542
57,16.220516
58,16.858927
59,11.704264
60,-1.720806
61,6.1005316
62,22.497932
63,24.850021
64,22.322092
65,20.442652
66,7.7158237
67,133.905
68,281.5601
69,518.99023
70,634.1492
71,644.9939
72,671.684
73,494.14868
74,349.6968
75,235.3753
76,124.08713
77,-11.631844
78,42.45648
79,12.4662485
80,14.976162
81,10.423856
82,-0.76743376
83,0.34823406
84,0.042696357
85,2.6092424
86,-7.8961406
87,-7.565799
88,-9.03247
89,-5.584498
90,-4.3435855
91,42.022743
92,260.94806
93,442.41763
94,614.8542
95,711.4511
96,718.04553
97,522.7081
98,412.86395
99,257.6135
100,116.01032
101,19.001114
102,14.052988
103,0.6683778
104,4.9878807
105,-0.071737245
106,-3.5754268
107,4.2130876
108,3.6479585
109,3.66985
110,1.513792
111,1.1179492
112,-2.5125084
113,-6.32902
114,-1.414372
115,79.22087
116,341.86234
117,436.09155
118,608.9959
119,650.7935
120,653.5838
121,543.8329
122,406.06122
123,224.94826
124,87.76099
125,10.463172
126,6.961474
127,0.11314581
128,-47.348564
129,0.87904865
130,9.038439
131,2.7246566
132,4.2647843
133,4.751636
134,4.313872
135,-3.6460416
136,-12.679405
137,-0.67069733
138,2.8395042
139,57.185055
140,302.41653
141,516.61
142,616.33026
143,688.24963
144,652.537
145,529.89545
146,365.6058
147,221.96504
148,119.08664
149,26.727234
150,19.524033
151,17.77429
152,12.390002
153,16.436314
154,13.386448
155,-0.32433206
156,0.42909008
157,1.5557138
158,1.1179492
159,-6.3763747
160,-4.202415
161,-5.0266547
162,-4.4931216
163,72.09212
164,270.59677
165,518.7361
166,626.4663
167,655.16504
168,672.956
169,475.946
170,380.69028
171,273.4862
172,106.23172
173,-3.489734
174,10.2984495
175,-0.25130826
176,1.4076563
177,2.4462068
178,11.475653
179,1.413008
180,6.762375
181,9.435714
182,26.064148
183,-0.03475988
184,-2.7770085
185,53.620407
186,52.91313
187,53.139324
188,276.63382
189,424.28244
190,614.34247
191,675.77356
192,626.5387
193,548.663
194,456.75168
195,188.20985
196,111.4502
197,11.030704
198,-29.116312
199,20.412043
200,10.881697
201,1.4441867
202,2.1009712
203,7.0749116
204,-14.263542
205,-9.81599
206,2.35707
207,-9.8652315
208,-0.77310836
209,-3.5729823
210,1.2294205
211,46.38178
212,252.61725
213,457.50198
214,573.77277
215,627.54065
216,666.7091
217,524.6231
218,401.45053
219,242.96893
220,78.80628
221,3.3772027
222,-2.694656
223,18.845388
224,-5.429146
225,-4.1559663
226,-6.1029124
227,-4.634045
228,-4.064156
229,5.5198874
230,-0.16022375
231,10.274178
232,-14.661905
233,-3.1438518
234,6.035732
235,44.91898
236,226.8535
237,387.0776
238,528.8031
239,498.2556
240,529.10315
241,619.2403
242,387.81335
243,246.4706
244,113.21831
245,-35.391857
246,29.349163
247,23.815723
248,12.923099
249,-28.77211
250,-27.770918
251,-17.449795
252,-36.387527
253,-2.032589
254,-18.650385
255,-28.918468
256,-4.0381923
257,4.096577
258,2.6253297
259,68.034035
260,260.5583
261,426.97614
262,608.1732
263,625.1373
264,583.9645
265,541.9017
266,280.83176
267,140.48705
268,108.36173
269,-5.144268
270,-6.7168274
271,-12.079667
272,-10.760834
273,-25.198486
274,-11.204896
275,-2.3658297
276,3.8831854
277,8.749661
278,-3.106738
279,51.813267
280,67.250694
281,13.385747
282,38.02612
283,96.42548
284,329.53333
285,509.0709
286,636.4565
287,566.5062
288,652.13495
289,598.7173
290,455.2231
291,254.16414
292,175.61873
293,74.57612
294,-6.738456
295,-15.980434
296,0.9359422
297,5.394248
298,6.4214716
299,0.5192262
300,2.3916895
301,-0.38077202
302,-0.012784034
303,-6.258908
304,6.260387
305,-0.1144779
306,5.9638495
307,64.106224
308,258.8911
309,459.4345
310,657.81793
311,696.2253
312,674.143
313,555.4593
314,417.68594
315,226.62445
316,72.097336
317,9.672678
318,6.8250775
319,-38.772682
320,-40.036648
321,9.038439
322,6.3793435
323,-1.4679418
324,3.2632055
325,-3.0149267
326,-17.45713
327,-10.0353365
328,-3.587565
329,-1.6980237
330,2.8283644
331,50.89202
332,229.51999
333,404.9171
334,610.56946
335,652.7305
336,636.01807
337,527.4075
338,382.12018
339,241.64435
340,83.348305
341,13.586157
342,8.542952
343,0.20856266
344,1.7208883
345,0.51111966
346,3.0172513
347,-1.3708484
348,-2.4957027
349,5.270101
350,-5.491037
351,-11.528315
352,-6.01802
353,1.3261778
354,3.1918573
355,58.168705
356,238.42276
357,437.79376
358,623.5986
359,685.8408
360,616.6095
361,527.1035
362,424.39752
363,230.6258
364,113.26661
365,28.6143
366,3.6496599
367,9.402406
368,15.150463
369,5.108222
370,-5.146456
371,-5.4680777
372,-5.9510493
373,-1.3504112
374,-7.3425117
375,-1.9188918
376,1.4496509
377,4.3290544
378,5.9856467
379,51.107933
380,193.1204
381,401.14404
382,604.9018
383,617.29913
384,644.1633
385,511.7217
386,406.05933
387,162.14017
388,101.003105
389,7.1981416
390,20.845554
391,14.754786
392,3.6964867
393,21.67465
394,1.2420576
395,0.8909638
396,0.30523166
397,5.6066566
398,-3.4322848
399,-6.8983684
400,12.936102
401,5.5819516
402,15.348414
403,78.216606
404,189.71817
405,462.04553
406,587.65857
407,628.87085
408,573.5043
409,498.45663
410,376.05243
411,226.06995
412,60.51317
413,2.0239227
414,-41.046238
415,-13.215688
416,29.658125
417,-11.39677
418,-6.8306413
419,-5.9625077
420,-5.0571713
421,5.145638
422,-2.0595806
423,-3.422036
424,6.2587686
425,2.5392184
426,-33.746647
427,24.203491
428,192.55638
429,412.40762
430,555.8786
431,630.74194
432,673.80206
433,540.6581
434,421.2232
435,231.98259
436,148.9021
437,23.967657
438,25.562208
439,44.848812
440,13.6162
441,-31.78341
442,12.197484
443,-0.5219577
444,-9.471102
445,-1.801174
446,-5.3753805
447,6.1590533
448,4.353231
449,-8.913625
450,2.0554156
451,35.90312
452,131.4458
453,431.1073
454,611.71765
455,710.6592
456,718.59
457,655.12225
458,413.29086
459,272.9603
460,314.64944
461,93.30921
462,77.875206
463,43.64614
464,37.415947
465,47.862198
466,-24.76556
467,-6.546084
468,-6.433264
469,-5.725335
470,19.533834
471,88.996994
472,43.267746
473,39.79584
474,73.97621
475,165.0507
476,322.76535
477,625.4068
478,717.85675
479,761.80664
480,806.7785
481,769.4993
482,468.94846
483,375.60117
484,264.17984
485,73.14297
486,-24.13007
487,-54.451656
488,16.410887
489,-14.441489
490,23.566704
491,4.8730226
492,-25.096846
493,-5.4254045
494,-12.395155
495,-3.7112393
496,-17.107899
497,-16.239882
498,25.20668
499,116.953575
500,326.05524
501,481.26837
502,688.3001
503,685.1958
504,729.46
505,677.10297
506,437.73645
507,293.34042
508,295.42056
509,62.966457
510,53.2796
511,39.88613
512,22.668375
513,18.784346
514,8.82484
515,-7.6476536
516,-28.651262
517,-10.048005
518,7.5373163
519,-14.167366
520,-19.279844
521,75.298386
522,9.335691
523,41.143433
524,250.80226
525,510.4535
526,775.5486
527,807.91956
528,756.76434
529,709.4982
530,497.69516
531,343.64087
532,240.49251
533,66.133125
534,48.029457
535,19.290377
536,-1.7466639
537,18.668472
538,3.074778
539,-12.5651045
540,9.3985405
541,-13.4020605
542,-8.31343
543,5.1563087
544,-9.3004465
545,-9.816607
546,-6.068272
547,-4.5536475
548,89.36817
549,436.53262
550,600.8919
551,643.42676
552,702.2251
553,631.6879
554,432.1359
555,241.79541
556,191.2671
557,8.661746
558,9.914195
559,-5.375821
560,-6.0776997
561,-11.165666
562,4.645873
563,-5.477342
564,8.125725
565,11.577463
566,8.9236145
567,8.9236145
568,-7.12799
569,-5.5517893
570,-5.5434113
571,19.453232
572,209.39062
573,415.56125
574,625.2291
575,667.8053
576,674.78546
577,645.49493
578,470.81686
579,298.9351
580,187.71358
581,6.793931
582,-4.3940334
583,5.813655
584,5.6492486
585,1.813069
586,2.3261218
587,1.6581317
588,-9.642212
589,-22.48581
590,-3.1298785
591,-0.45668495
592,-21.479815
593,-5.615624
594,2.6169882
595,21.804405
596,171.53062
597,401.06244
598,608.06885
599,644.12573
600,754.5312
601,640.7986
602,449.36603
603,282.87262
604,186.90446
605,24.029293
606,18.574247
607,20.398943
608,18.6033
609,-1.9958264
610,-15.952144
611,-34.551826
612,-54.145927
613,6.709992
614,-0.17782474
615,-5.845433
616,-12.127534
617,-10.025839
618,-20.766031
619,36.580475
620,244.56033
621,407.13303
622,746.1032
623,737.03235
624,744.08154
625,677.6421
626,487.15286
627,388.1741
628,309.11557
629,33.18377
630,55.725002
631,5.370151
632,37.75671
633,41.795975
634,61.195316
635,-40.949074
636,-18.947626
637,21.835835
638,46.45407
639,87.17594
640,43.90401
641,70.678535
642,76.972244
643,300.098
644,287.31638
645,413.62076
646,692.4682
647,699.4002
648,750.9805
649,708.57263
650,354.78207
651,242.82773
652,219.6789
653,74.76988
654,41.327427
655,26.937706
656,40.302547
