,lossauces
0,689.84595
1,546.9468
2,422.94537
3,192.29288
4,168.49297
5,66.60257
6,74.721146
7,39.52092
8,121.45478
9,28.224705
10,4.8548894
11,-48.212524
12,-2.0141137
13,-2.7040536
14,-29.678574
15,-3.5272918
16,-0.56533617
17,-2.3960044
18,-2.3006809
19,119.77261
20,392.21793
21,377.38974
22,537.1796
23,510.72153
24,508.94827
25,543.92426
26,443.52255
27,196.97566
28,205.97557
29,86.00416
30,28.687675
31,9.298019
32,59.80689
33,-15.705372
34,13.465585
35,-7.07101
36,-36.378334
37,-18.211624
38,-11.269098
39,-7.8263426
40,-7.357949
41,-10.920101
42,-10.3013315
43,-9.834739
44,279.7096
45,373.07874
46,531.40063
47,567.82007
48,621.16833
49,575.569
50,455.93835
51,222.5003
52,236.87386
53,58.28666
54,18.714615
55,-11.394189
56,-22.174356
57,-17.93236
58,33.871494
59,18.713284
60,-8.0455885
61,-11.807926
62,10.9931755
63,8.474268
64,-11.666893
65,-3.4937441
66,-14.867462
67,93.754875
68,277.40854
69,437.114
70,527.2934
71,596.06366
72,672.36255
73,623.03455
74,417.87738
75,202.88693
76,184.23474
77,34.98308
78,29.296585
79,-13.552645
80,-4.513931
81,-28.145638
82,-26.97196
83,-1.5990108
84,11.128843
85,-4.3365936
86,-15.714378
87,-12.440206
88,5.1697416
89,-7.151251
90,-4.904488
91,24.187786
92,286.25912
93,411.9706
94,596.26605
95,627.7166
96,667.8392
97,617.1473
98,422.46085
99,274.4372
100,158.59264
101,35.56303
102,24.235605
103,-18.802574
104,-16.62825
105,2.3101978
106,1.2683244
107,8.307774
108,-10.476381
109,-4.517626
110,0.61262596
111,7.1417165
112,1.0310082
113,1.1152246
114,8.452676
115,56.92645
116,252.6955
117,412.40912
118,600.2265
119,699.2611
120,720.3256
121,606.85175
122,374.70007
123,304.46112
124,199.37016
125,20.319172
126,10.708938
127,14.246794
128,-43.056137
129,-37.544453
130,2.8249989
131,-0.39681804
132,-2.9863443
133,-16.745943
134,-12.098374
135,-1.0771291
136,11.488826
137,-3.9786906
138,-10.937025
139,67.51464
140,296.50034
141,402.35956
142,625.40204
143,679.84265
144,679.24475
145,619.22943
146,438.7114
147,262.69424
148,224.74696
149,33.560936
150,23.381804
151,-4.186139
152,62.9683
153,4.139561
154,-27.043861
155,11.219252
156,11.625687
157,10.359376
158,-10.803266
159,-20.395868
160,36.14096
161,4.340275
162,51.248287
163,235.20465
164,348.06003
165,546.93555
166,553.85785
167,561.83026
168,612.65283
169,623.4011
170,467.90106
171,205.01201
172,288.81335
173,86.971634
174,82.36703
175,26.20597
176,20.5292
177,39.434807
178,30.01219
179,-4.835331
180,-2.821243
181,58.487476
182,42.550888
183,67.66073
184,105.203354
185,51.26908
186,224.44252
187,208.16292
188,341.03238
189,418.16742
190,550.9939
191,596.24054
192,619.11346
193,453.64844
194,397.013
195,212.2111
196,208.00145
197,35.65659
198,-57.95785
199,0.67536336
200,23.788494
201,16.556385
202,10.998858
203,23.964325
204,7.8954153
205,-10.871772
206,-22.075106
207,-9.031938
208,-15.240893
209,-11.253705
210,14.331073
211,96.24673
212,304.07498
213,499.61102
214,521.3593
215,575.61816
216,596.17126
217,538.9929
218,404.11728
219,203.07892
220,192.36867
221,60.552204
222,12.340732
223,-11.528555
224,-7.0245414
225,83.87871
226,86.51158
227,74.241425
228,43.663944
229,8.271427
230,-18.878532
231,118.262184
232,110.552345
233,15.970465
234,23.467628
235,97.42495
236,252.5391
237,396.25873
238,506.03107
239,379.14853
240,589.79846
241,476.32684
242,466.0982
243,328.9337
244,166.39847
245,47.786324
246,14.112812
247,31.19073
248,14.4376135
249,-5.145788
250,-19.521769
251,12.918563
252,23.925264
253,46.76917
254,32.309315
255,6.638763
256,25.151657
257,72.20248
258,-5.079268
259,63.141613
260,361.2942
261,457.6117
262,562.1408
263,608.5387
264,617.0522
265,577.0425
266,445.04547
267,247.8313
268,238.3241
269,-2.2876434
270,41.368908
271,287.17462
272,450.86276
273,520.57587
274,357.30182
275,385.31033
276,433.62912
277,311.4768
278,276.86102
279,197.02325
280,62.239132
281,3.7002738
282,-9.246946
283,17.180683
284,51.763706
285,43.429226
286,8.516136
287,26.927813
288,2.3615942
289,-18.725368
290,-3.7747502
291,-17.188005
292,-4.29635
293,9.480743
294,29.470732
295,170.41602
296,459.24985
297,547.89343
298,536.60126
299,622.80566
300,571.6548
301,399.82178
302,191.64629
303,201.70943
304,56.547024
305,-16.839663
306,15.376459
307,5.180992
308,-2.3055737
309,-8.2279825
310,-6.869307
311,137.3248
312,-13.508733
313,-6.9550605
314,-2.368317
315,-15.224027
316,-26.420652
317,3.6233425
318,70.72568
319,251.96754
320,259.0871
321,501.785
322,514.6257
323,540.37787
324,505.9553
325,440.6434
326,231.8656
327,126.90187
328,73.08785
329,-3.6586103
330,-5.971176
331,33.63197
332,25.511961
333,-92.50873
334,-7.616433
335,-13.839974
336,-5.648921
337,76.14481
338,1.7827926
339,-1.7851475
340,-9.368868
341,-3.2316933
342,58.9425
343,281.22137
344,404.40952
345,491.3319
346,587.6905
347,616.7411
348,578.0046
349,479.36914
350,261.14114
351,227.83856
352,4.828039
353,-64.99959
354,4.9830017
355,-17.214746
356,-16.053919
357,-11.593362
358,-23.029589
359,5.647158
360,8.332956
361,3.480422
362,-3.8035748
363,1.270334
364,-2.3618512
365,12.092286
366,88.07315
367,360.36157
368,378.9574
369,508.98456
370,647.51245
371,642.67834
372,563.7227
373,460.9187
374,245.26895
375,200.86594
376,11.818954
377,-19.117601
378,-21.277317
379,-26.759922
380,16.989616
381,-43.447384
382,-28.453938
383,-20.021973
384,-15.106734
385,5.72186
386,1.6946633
387,-7.260149
388,-4.625795
389,1.0071062
390,67.76817
391,347.96738
392,371.58688
393,588.3221
394,671.0556
395,605.3284
396,594.8469
397,411.5171
398,223.97751
399,130.83374
400,-31.021366
401,90.40637
402,38.662304
403,46.456314
404,-3.8079436
405,45.16551
406,210.17294
407,14.810284
408,146.98698
409,-11.299472
410,6.28152
411,29.36965
412,31.532185
413,21.418398
414,-7.4036274
415,255.35403
416,437.92755
417,574.9284
418,618.0597
419,531.1104
420,535.9314
421,375.73187
422,210.29898
423,230.96446
424,35.160374
425,30.591211
426,0.4453643
427,8.456076
428,-1.8857275
429,-1.0220577
430,-2.5243907
431,-1.6033534
432,-4.7298455
433,-2.8731618
434,0.12531662
435,-17.387922
436,0.15061718
437,17.02488
438,46.73638
439,243.80458
440,386.9745
441,597.46954
442,609.27344
443,617.8168
444,536.1633
445,437.00583
446,258.37643
447,229.98682
448,54.95327
449,87.82821
450,20.084301
451,15.716706
452,-1.0932343
453,10.71477
454,2.5398808
455,19.448801
456,-8.75332
457,161.03294
458,21.025621
459,-10.484073
460,37.843113
461,11.57332
462,26.53658
463,347.55222
464,373.47028
465,607.5695
466,616.9137
467,670.4715
468,532.7596
469,429.0382
470,238.83205
471,143.48586
472,51.51547
473,31.243998
474,-1.7299787
475,7.5576496
476,10.569025
477,-13.884827
478,40.732224
479,23.34271
480,2.7454772
481,-0.0620419
482,-11.483152
483,-1.7851475
484,-3.308008
485,-2.289655
486,44.840015
487,252.89404
488,430.50632
489,548.85834
490,646.35565
491,546.79266
492,492.99396
493,446.79935
494,220.75551
495,213.7916
496,-5.1557426
497,-48.30833
498,6.363703
499,-27.758348
500,-13.8733635
501,-10.047045
502,-10.05834
503,-9.963916
504,-3.0248578
505,-1.3962806
506,-8.031076
507,3.599863
508,-18.889402
509,-14.632337
510,69.664116
511,310.28265
512,378.3511
513,491.16272
514,526.42755
515,584.15967
516,438.2287
517,495.3808
518,227.47029
519,208.60558
520,30.612991
521,10.596159
522,6.9288673
523,57.553646
524,-3.9120839
525,10.830381
526,-0.69135714
527,0.05203514
528,-1.3635631
529,-10.531892
530,-24.27474
531,-6.764802
532,2.774221
533,-5.9743795
534,54.16342
535,235.4787
536,496.57147
537,376.3603
538,439.44424
539,420.7429
540,516.7095
541,466.8783
542,154.43246
543,299.8894
544,58.184494
545,29.565004
546,16.019667
547,-6.8355827
548,28.20883
549,8.694705
550,-2.623269
551,-9.960945
552,12.537581
553,-18.396402
554,6.307449
555,-18.879251
556,-1.4467498
557,-8.820332
558,-1.8499893
559,222.76732
560,307.89923
561,592.03613
562,665.77026
563,495.6868
564,570.3747
565,456.4104
566,244.8263
567,198.01094
568,65.91741
569,28.59479
570,1.6098963
571,12.811453
572,24.094109
573,2.3586447
574,-30.265976
575,-29.575302
576,-44.121395
577,-1.532622
578,-12.14258
579,-8.070176
580,-19.361876
581,-7.318731
582,64.463875
583,281.769
584,519.08636
585,541.7893
586,593.35175
587,603.2252
588,519.17676
589,417.3379
590,211.15474
591,200.76537
592,24.824018
593,-5.267587
594,5.5087595
595,-29.968431
596,-16.993135
597,-22.938395
598,-9.575549
599,-4.038957
600,0.031149898
601,-3.969078
602,-3.427218
603,1.6404884
604,-1.4257904
605,-0.82643896
606,24.299665
607,233.61345
608,307.43607
609,460.63535
610,599.2934
611,598.3454
612,538.1123
613,443.1781
614,225.47276
615,133.2478
616,26.77269
617,-5.409085
618,-12.440344
619,-35.53853
620,-15.317242
621,3.077962
622,-20.163395
623,-22.89452
624,-12.843747
625,-6.683181
626,5.9175787
627,-2.8841395
628,75.49844
629,6.276681
630,92.51376
631,317.75488
632,411.37814
633,601.73444
634,842.4512
635,786.35547
636,680.6814
637,567.0815
638,325.02722
639,271.27832
640,72.994644
641,105.44438
642,100.612144
643,60.721573
644,53.196655
645,28.94049
646,-11.0016
647,-6.7784686
648,4.7933373
649,-1.9949988
650,9.307562
651,-23.083418
652,12.255561
653,11.585669
654,105.83615
655,423.5104
656,457.78214
657,578.45746
658,422.22906
659,706.26825
660,603.78424
661,491.8344
662,328.66235
663,268.74927
664,91.74622
665,17.70857
666,21.112192
667,13.247253
668,-11.12536
669,45.909187
670,3.580761
671,27.132185
672,62.706665
673,83.02001
674,28.952671
675,14.229291
676,35.95245
677,35.476074
678,175.25426
679,321.77698
680,450.85587
681,534.9323
682,634.4236
683,673.5088
684,533.0208
685,436.5724
686,322.88107
687,256.92264
688,113.87606
689,73.182655
690,22.393688
691,26.535118
692,77.88298
693,5.807742
694,7.604629
695,14.542755
696,1.7234638
697,16.553438
698,10.90713
699,18.181839
700,7.3292294
701,8.322434
702,127.042244
703,366.71722
704,465.39853
705,634.95215
706,645.55963
707,617.52484
708,582.5141
709,522.75696
710,344.59845
711,152.52248
712,120.39306
713,28.557978
714,42.60698
715,43.798084
716,31.392036
717,25.411602
718,13.083503
719,14.176953
720,-1.7167286
721,-5.354025
722,17.701193
723,63.52226
724,44.1499
725,43.833042
726,152.97769
727,295.0174
728,442.48532
729,547.04974
730,625.1191
731,603.22974
732,555.1872
733,499.18698
734,392.53214
735,272.64844
736,127.319565
737,45.08043
738,49.659058
739,106.68336
740,67.850945
741,111.06743
742,24.72506
743,80.91954
744,34.605885
745,38.861477
746,70.55999
747,43.018745
748,49.844597
749,40.935085
750,164.15999
751,440.9641
752,529.2247
753,683.5233
754,771.2974
755,793.0347
756,693.0778
757,514.8762
758,386.75348
759,320.68634
760,140.77132
761,100.57617
762,45.146946
763,53.82415
764,43.305164
765,89.58076
766,70.84855
767,47.461166
768,74.236305
769,16.39237
770,63.286163
771,58.525005
772,17.84104
773,34.202328
774,130.38861
775,356.41437
776,469.90115
777,575.7015
778,652.8294
779,640.8334
780,604.838
781,468.95224
782,338.43973
783,205.72528
784,107.96325
785,13.645378
786,-4.3160105
787,1.9792591
788,-5.0455284
789,10.419442
790,-12.21162
791,-2.9542747
792,26.386045
793,-4.821533
794,-2.1918182
795,14.553201
796,3.2185678
797,3.398488
798,75.18046
799,283.973
800,436.1215
801,597.09216
802,633.81934
803,634.43005
804,617.7221
805,441.21014
806,309.8534
807,290.24484
808,71.13459
809,12.753295
810,35.395
811,46.94206
812,23.482258
813,43.149265
814,33.376053
815,18.601612
816,14.771026
817,30.087126
818,6.9563823
819,28.461615
820,26.758627
821,33.691372
822,188.72821
823,389.91122
824,600.8882
825,687.21277
826,767.3766
827,749.087
828,619.5939
829,552.8466
830,106.96939
831,278.75302
832,443.07574
833,551.8183
834,599.3615
835,713.836
836,608.4286
837,454.2626
838,330.4076
839,274.58148
840,84.25037
841,62.503975
842,55.12269
843,50.305374
844,48.56496
845,35.885963
846,90.936935
847,134.69434
848,-26.870028
849,58.912758
850,-9.921979
851,-50.509636
852,-73.5924
853,-40.658073
854,-8.784037
855,260.42947
856,391.39658
857,495.88065
858,608.973
859,831.28094
860,761.85175
861,601.2362
862,419.7779
863,313.7226
864,64.89309
865,25.860178
866,-5.3290524
867,3.016422
868,14.242725
869,19.502155
870,34.67599
871,32.022163
872,14.323491
873,7.115926
874,57.553432
875,26.975157
876,-8.955455
877,-26.914093
878,44.376965
879,329.48138
880,396.52188
881,702.63416
882,715.3512
883,703.5328
884,594.3984
885,381.19748
886,391.6817
887,316.272
888,103.61002
889,25.840792
890,13.759665
891,9.7998
892,33.466797
893,37.96756
894,38.265144
895,32.01901
896,52.399044
897,61.04591
898,53.906094
899,15.318232
900,-10.747278
901,-27.382524
902,266.99585
903,314.72217
904,319.58658
905,531.91174
906,762.6045
907,875.1322
908,794.1026
909,610.4958
910,423.8981
911,336.26315
912,62.091316
913,9.061704
914,26.038336
915,-6.5952444
916,28.611862
917,7.9296017
918,-0.18043259
919,-1.1889933
920,1.1988055
921,-0.9256904
922,-0.77274644
923,-2.3328118
924,0.5888462
925,11.852138
926,50.442883
927,362.75253
928,400.27155
929,602.1054
930,600.353
931,564.6544
932,540.56714
933,448.2684
934,292.6344
935,198.94232
936,61.15311
937,9.288639
938,-0.011741929
939,7.2161474
940,-10.536393
941,-10.536393
942,-3.53415
943,1.9144771
944,-4.123698
945,30.676823
946,1.0752106
947,3.78513
948,6.771861
949,9.747287
950,82.517456
951,326.47855
952,338.4137
953,537.8615
954,729.864
955,638.51013
956,626.64874
957,425.85382
958,332.38867
959,205.9931
960,74.84343
961,28.192123
962,5.5323415
963,24.26695
964,59.70178
965,72.54506
966,27.672447
967,-2.988617
968,17.803576
969,77.18349
970,36.912296
971,19.126392
972,36.93472
973,71.0016
974,295.21643
975,315.77234
976,661.8448
977,713.20844
978,582.23956
979,713.92615
980,778.8142
981,510.39307
982,448.77267
983,266.9043
984,83.40286
985,30.391855
986,1.1911709
987,9.487074
988,8.43881
989,10.672527
990,18.203522
991,13.509224
992,15.130789
993,23.430891
994,32.49194
995,18.0425
996,16.494642
997,43.200256
998,159.42625
999,303.65942
1000,431.467
1001,457.57425
1002,524.40015
1003,519.91766
1004,483.02176
1005,368.23218
1006,329.78952
1007,228.82153
1008,88.45906
1009,16.33668
1010,2.24674
1011,15.973668
1012,19.32276
1013,11.849478
1014,21.308208
1015,43.834755
1016,37.791058
1017,6.4663258
1018,6.0477
1019,-4.3849845
1020,22.760876
1021,12.685874
1022,147.12088
1023,406.98636
1024,455.17877
1025,515.13556
1026,611.19806
1027,631.8968
1028,422.05243
1029,439.91605
1030,208.97531
1031,214.42833
1032,127.05427
1033,11.072866
1034,51.529015
1035,46.990818
1036,41.179928
1037,46.298893
1038,35.896976
1039,42.10986
1040,20.741705
1041,29.903296
1042,9.339239
1043,11.591418
1044,29.027718
1045,40.655567
1046,122.26316
1047,338.98233
1048,478.44418
1049,620.0669
1050,716.2885
1051,692.21594
1052,576.1028
1053,469.92346
1054,357.20114
1055,240.38039
1056,76.478775
1057,-28.672895
1058,13.452297
1059,3.2797487
1060,49.470272
1061,19.74606
1062,22.842264
1063,40.599792
1064,0.39708635
1065,41.16565
1066,21.333914
1067,23.7451
1068,3.6797996
1069,26.47714
1070,94.997215
1071,223.39053
1072,201.63875
1073,228.28452
1074,303.41336
1075,424.7191
1076,455.3402
1077,409.79114
1078,250.38664
1079,207.19743
1080,2.7005775
1081,18.221735
1082,6.2775865
1083,17.65593
1084,27.649471
1085,3.832648
1086,22.536419
1087,8.209416
1088,35.0262
1089,3.4765043
1090,43.616695
1091,-58.356575
1092,-69.8391
1093,3.7511344
1094,21.697865
1095,240.99132
1096,360.9409
1097,522.9535
1098,578.78217
1099,699.9981
1100,549.65814
1101,526.35657
1102,328.3256
1103,289.9773
1104,85.75073
1105,16.06779
1106,11.025318
1107,17.801857
1108,41.10697
1109,23.28546
1110,48.9088
1111,8.744229
1112,2.2735622
1113,-3.2739754
1114,4.310401
1115,-19.294584
1116,-5.616888
1117,8.704012
1118,58.546856
1119,319.7808
1120,462.7345
