,miraflores
0,100.127754
1,108.36455
2,110.37972
3,264.16016
4,181.45769
5,304.30807
6,278.48193
7,262.08417
8,300.55902
9,267.5555
10,345.92282
11,438.29483
12,430.90555
13,425.5439
14,417.82697
15,362.3506
16,346.91492
17,332.53445
18,850.54083
19,394.28436
20,-15.793449
21,-78.951996
22,-58.379944
23,2.0848463
24,-26.850922
25,-14.486906
26,-37.735428
27,-73.96853
28,86.494354
29,237.68663
30,254.26224
31,236.36111
32,250.14299
33,145.71635
34,262.40344
35,312.84412
36,419.03775
37,426.08987
38,399.5574
39,326.29742
40,354.56644
41,358.5953
42,654.171
43,312.63617
44,-42.150658
45,-25.111116
46,-29.722433
47,-17.524685
48,-21.766941
49,-59.82855
50,-23.360939
51,-10.05455
52,100.02344
53,181.63823
54,111.81121
55,140.95348
56,125.96996
57,177.48328
58,327.46368
59,298.14615
60,377.80164
61,357.09082
62,266.0024
63,210.02753
64,233.22624
65,298.9364
66,890.6607
67,485.1501
68,476.51813
69,308.71823
70,68.91297
71,76.05358
72,69.41389
73,224.79652
74,215.89662
75,249.40253
76,269.08163
77,253.13728
78,195.88573
79,279.36755
80,263.60214
81,342.83435
82,442.89392
83,433.43253
84,453.71658
85,429.037
86,402.50452
87,324.3627
88,325.29935
89,311.74786
90,818.90466
91,241.51912
92,196.3552
93,-23.5858
94,-34.23039
95,-16.44902
96,-9.272711
97,1.6035969
98,5.716976
99,20.976517
100,95.78531
101,104.4816
102,131.30664
103,263.78137
104,111.27055
105,233.5526
106,299.74188
107,320.7845
108,409.48807
109,274.17322
110,318.716
111,258.65942
112,230.09285
113,244.8368
114,250.20699
115,555.57263
116,378.95654
117,265.9864
118,51.94295
119,42.184505
120,71.19325
121,239.73187
122,232.5874
123,381.31796
124,151.40555
125,171.70958
126,173.11166
127,75.431786
128,175.08199
129,104.35975
130,209.97083
131,259.50238
132,344.92426
133,309.93417
134,316.85834
135,384.75485
136,293.01755
137,274.7126
138,511.2197
139,447.95615
140,360.86475
141,270.23004
142,209.67883
143,250.10533
144,98.39957
145,251.81683
146,229.29433
147,244.88011
148,200.68019
149,180.90543
150,236.76907
151,298.98648
152,294.67905
153,309.16183
154,401.3069
155,451.872
156,474.79126
157,441.66153
158,437.873
159,385.65118
160,344.15738
161,337.85132
162,674.69965
163,200.5236
164,-18.718046
165,-40.091507
166,-63.627857
167,-33.361855
168,-70.035645
169,-22.200336
170,-77.425385
171,188.06345
172,69.99004
173,63.05667
174,65.80863
175,131.92918
176,129.06422
177,155.19865
178,312.40598
179,328.5814
180,428.38348
181,376.96387
182,489.40225
183,331.936
184,363.77686
185,319.14795
186,760.507
187,548.29816
188,376.94263
189,77.98528
190,101.71583
191,215.6459
192,296.81372
193,215.36697
194,119.28034
195,210.93564
196,106.2254
197,186.69472
198,88.12865
199,167.60982
200,142.46696
201,129.44212
202,325.3323
203,259.5991
204,145.46797
205,345.5962
206,254.92741
207,257.21347
208,252.2103
209,330.8014
210,724.8862
211,445.32272
212,218.31117
213,265.19574
214,308.1017
215,240.76355
216,294.01437
217,248.67982
218,388.01004
219,364.72552
220,154.97322
221,139.62834
222,160.02048
223,182.96434
224,173.03246
225,177.03014
226,431.4605
227,435.2833
228,280.2479
