,mont-cumbre
0,552.9655
1,503.48767
2,363.47
3,285.08926
4,152.67503
5,59.507645
6,4.5372963
7,-0.9279473
8,-20.187618
9,-15.695257
10,-15.695257
11,-5.9564366
12,-2.2375698
13,18.022701
14,8.678823
15,-0.09746379
16,-3.4097543
17,3.7352223
18,32.57488
19,98.7781
20,233.50594
21,485.0004
22,502.5199
23,521.17737
24,529.90845
25,475.43002
26,415.35037
27,268.18097
28,151.39825
29,55.06536
30,-114.16126
31,-26.44476
32,-123.87738
33,-8.767594
34,13.475578
35,-10.5668745
36,-13.164641
37,-7.7200766
38,-3.1105614
39,-7.4703937
40,-2.1046233
41,2.7083738
42,9.458619
43,94.529396
44,240.59747
45,513.0931
46,551.05115
47,571.8061
48,601.2518
49,512.1248
50,429.4562
51,289.71756
52,162.13858
53,54.831207
54,4.1344485
55,-1.4647262
56,7.45574
57,28.521849
58,30.78982
59,21.245638
60,-25.809628
61,-27.029503
62,1.1470567
63,-5.1814876
64,7.5951343
65,11.352784
66,174.52536
67,325.03
68,494.95963
69,593.1694
70,772.5656
71,795.3836
72,886.079
73,786.09174
74,605.11426
75,548.69434
76,358.8238
77,92.67133
78,29.063425
79,0.8599804
80,10.434188
81,6.4183836
82,23.722616
83,27.571383
84,27.08308
85,41.106846
86,28.588884
87,31.16409
88,10.200128
89,13.330004
90,99.533226
91,256.66113
92,495.027
93,577.0346
94,771.2173
95,782.0445
96,821.07245
97,750.4024
98,630.2007
99,414.13626
100,220.71498
101,97.12113
102,11.373284
103,-28.563637
104,5.465297
105,12.480817
106,15.835162
107,-7.118467
108,4.804771
109,-7.244942
110,24.0419
111,-4.3586316
112,-5.430283
113,42.48541
114,173.41911
115,342.97784
116,535.8121
117,611.57367
118,673.682
119,722.5669
120,719.0387
121,617.074
122,533.5126
123,237.23369
124,146.9962
125,51.28503
126,13.232428
127,-2.5130167
128,-0.8029938
129,-3.5889134
130,-7.2693377
131,16.307589
132,21.23761
133,-0.6502638
134,-60.756004
135,12.704251
136,-53.842575
137,16.831501
138,128.81313
139,330.2945
140,485.65167
141,605.5606
142,739.9416
143,713.2246
144,702.188
145,641.9851
146,616.2251
147,328.06503
148,155.003
149,58.96066
150,18.688934
151,-0.24313614
152,1.2492816
153,3.6289465
154,-0.9313544
155,8.606733
156,19.924763
157,22.25254
158,2.56463
159,0.04742682
160,18.522125
161,26.994417
162,135.924
163,269.19965
164,361.1059
165,593.36774
166,628.8964
167,656.39856
168,649.0483
169,611.0098
170,579.95514
171,363.42374
172,197.69165
173,71.97592
174,3.430504
175,-19.36744
176,-13.676359
177,-13.514604
178,-19.614605
179,5.603508
180,5.877264
181,-1.3539102
182,-5.8858666
183,-22.2392
184,-18.63118
185,12.894855
186,93.843254
187,279.33612
188,290.59406
189,374.79315
190,720.22375
191,791.6515
192,795.0286
193,641.07196
194,668.37946
195,384.62314
196,190.6383
197,58.521538
198,8.897365
199,-54.793194
200,-5.9023967
201,-10.731225
202,-1.3560792
203,-1.9921666
204,3.8041346
205,-10.11849
206,1.5906557
207,-1.0189621
208,-0.07154798
209,9.25581
210,100.0574
211,245.34906
212,288.77142
213,342.8387
214,303.3657
215,281.98846
216,415.42178
217,335.49405
218,489.9366
219,339.9271
220,189.36938
221,34.1275
222,3.0586448
223,-12.51651
224,15.548696
225,-4.8724575
226,-7.2635407
227,0.5530208
228,2.945468
229,7.411998
230,-0.9661643
231,-0.45264348
232,-3.396977
233,10.31766
234,76.518875
235,236.46353
236,217.87529
237,133.19272
238,111.7221
239,145.60681
240,215.49438
241,291.13043
242,135.55331
243,110.973366
244,160.8231
245,44.849663
246,5.763177
247,-8.419566
248,-5.988693
249,-7.982295
250,-9.01529
251,-0.68066734
252,0.109927945
253,6.243472
254,0.45842803
255,-1.6982541
256,4.7989936
257,15.061168
258,20.795818
259,170.12114
260,210.81104
261,109.16901
262,117.387245
263,331.00232
264,479.6573
265,306.61215
266,274.81363
267,171.91403
268,87.75975
269,37.318806
270,9.184457
271,-4.4856296
272,-7.067539
273,-7.021782
274,-9.124061
275,-1.6797059
276,-3.2335813
277,-1.8354199
278,-4.7269044
279,0.68297255
280,-9.200989
281,11.134277
282,9.223596
283,112.735634
284,147.45343
285,87.813385
286,119.78252
287,44.45916
288,135.68712
289,181.31621
290,93.0655
291,97.20017
292,84.42462
293,63.050373
294,5.385142
295,-8.785279
296,7.6594315
297,-5.438705
298,-16.731327
299,-1.8427213
300,-13.990584
301,4.3079486
302,24.741798
303,18.746935
304,0.0320623
305,9.937797
306,33.249073
307,180.2919
308,230.20331
309,557.3693
310,535.12866
311,621.09393
312,517.0615
313,447.66876
314,299.5091
315,130.881
316,103.822525
317,44.49623
318,-1.530829
319,-13.044261
320,-13.199534
321,-9.234542
322,-15.220462
323,1.3143299
324,5.2349606
325,3.5011768
326,1.5516204
327,-17.476727
328,2.7923725
329,11.716184
330,20.645863
331,223.15923
332,213.64914
333,556.01715
334,636.69006
335,658.0345
336,607.91626
337,515.66156
338,399.09946
339,161.67061
340,155.00034
341,59.50111
342,8.312692
343,-2.4414356
344,-7.0191035
345,-11.7080345
346,0.7902535
347,7.2694526
348,4.5953918
349,-9.431886
350,2.1963062
351,7.460023
352,4.9413843
353,-12.73373
354,32.444794
355,232.19354
356,235.89621
357,164.37866
358,142.67767
359,85.597534
360,347.9806
361,532.35834
362,291.953
363,164.66284
364,74.533035
365,34.221474
366,11.628375
367,2.3571568
368,-44.645344
369,-32.14473
370,-8.669303
371,5.482661
372,-42.947594
373,0.58418596
374,3.8403146
375,-7.878563
376,2.9585972
377,11.403365
378,49.123753
379,271.73492
380,530.176
381,562.0236
382,563.80634
383,699.7307
384,616.6382
385,632.64343
386,503.40253
387,358.21585
388,231.47662
389,93.76032
390,12.141402
391,-4.8742065
392,2.2227526
393,-2.1856747
394,48.41384
395,-4.9367647
396,12.867963
397,1.3336221
398,-4.3048105
399,-4.4981146
400,2.983334
401,25.753536
402,96.07115
403,281.5728
404,496.06
405,595.55634
406,670.87885
407,714.94977
408,812.39856
409,686.2279
410,597.71155
411,399.18777
412,238.87112
413,66.94801
414,39.09523
415,8.9970875
416,5.222528
417,6.7271805
418,7.768246
419,13.948657
420,-1.4197052
421,15.090698
422,-0.50520253
423,15.1647625
424,18.44479
425,52.916473
426,100.040344
427,342.9164
428,516.7498
429,689.60693
430,820.3002
431,804.5429
432,833.16144
433,752.382
434,678.90497
435,568.7101
436,405.0294
437,84.714035
438,31.726192
439,10.708896
440,17.406872
441,-24.807316
442,7.0382805
443,20.278843
444,8.588773
445,-47.742836
446,-8.888278
447,0.7752736
448,2.9771383
449,23.188946
450,109.850655
451,288.2319
452,453.0127
453,611.77875
454,731.4811
455,811.7089
456,769.37146
457,747.555
458,689.6541
459,501.75195
460,380.62573
461,54.229637
462,10.331299
463,-2.0840712
464,2.4892192
465,-5.398588
466,3.3122604
467,3.5226705
468,-10.855896
469,-0.17708158
470,-6.6602345
471,-7.1580667
472,-8.575646
473,3.4115713
474,88.59498
475,318.1773
476,463.93768
477,561.9875
478,700.21014
479,771.2254
480,804.3009
481,749.97833
482,679.2715
483,553.8707
484,300.4986
485,78.65176
486,6.9451776
487,-5.652332
488,-0.5594189
489,-2.696892
490,-14.575146
491,5.647315
492,2.9867587
493,0.4277032
494,5.87064
495,3.8827496
496,1.4224558
497,15.792097
498,78.35794
499,220.8649
500,226.16837
501,213.28497
502,158.46173
503,115.337685
504,138.77829
505,154.63998
506,181.56877
507,170.01569
508,79.08471
509,22.413696
510,5.2870526
511,0.438979
512,-5.866662
513,-0.7188106
514,0.88320607
515,-0.68353647
516,0.32067385
517,-2.366859
518,1.2728884
519,10.408365
520,1.7259892
521,31.835005
522,112.633545
523,195.05872
524,221.1064
525,146.75484
526,280.69574
527,198.32169
528,109.78498
529,121.90908
530,43.36221
531,88.96904
532,80.28562
533,45.02662
534,5.905879
535,0.83738655
536,-0.25938848
537,-9.882731
538,-21.142557
539,-8.006387
540,-3.9086592
541,-3.6238914
542,-13.89697
543,4.8431244
544,-6.9275637
545,11.156753
546,77.28728
547,252.72247
548,207.72807
549,131.08423
550,85.78429
551,30.669155
552,77.49449
553,43.641624
554,49.895035
555,90.48188
556,60.563503
557,26.594086
558,5.325857
559,-12.678904
560,-11.809029
561,3.3486881
562,15.438619
563,-6.7766337
564,6.5696516
565,-4.574868
566,6.6621575
567,4.9258432
568,1.7575489
569,11.776283
570,87.84335
571,253.84615
572,243.15201
573,194.92987
574,233.29791
575,127.69963
576,28.535381
577,54.03964
578,28.653368
579,127.71401
580,95.62553
581,44.042393
582,25.151903
583,11.400794
584,16.363144
585,19.826416
586,15.305482
587,-11.396092
588,5.271377
589,4.4094243
590,3.028611
591,-2.582931
592,15.607097
593,25.798857
594,84.489845
595,319.3047
596,316.99985
597,208.5916
598,209.07819
599,226.70923
600,174.05138
601,103.9356
602,45.197517
603,105.270546
604,73.540985
605,36.878334
606,8.163252
607,32.344376
608,30.608667
609,-6.7407
610,18.38977
611,25.827684
612,29.422676
613,31.898813
614,128.44382
615,33.370193
616,32.890785
617,52.100674
618,128.4656
619,194.94128
620,245.14519
621,269.04282
622,190.5805
623,258.11426
624,168.36113
625,156.92564
626,125.06739
627,217.18263
628,83.94695
629,32.729443
630,12.505722
631,2.045508
632,5.8204727
633,-5.8765883
634,-3.9475813
635,7.136709
636,-8.345457
637,2.3340948
638,1.0927045
639,-7.8560066
640,3.9555342
641,4.1072063
642,66.096634
643,214.50934
644,329.88205
645,637.3535
646,758.6181
647,591.6192
648,650.1326
649,661.2778
650,394.6641
651,297.82257
652,177.21094
653,53.73941
654,10.498788
655,-5.3986773
656,-9.4600525
657,-21.019936
658,-17.647327
659,8.223323
660,-17.934967
661,1.4661762
662,0.7337191
663,30.668625
664,-10.352529
665,17.941357
666,39.519234
667,81.90239
668,151.99171
669,115.60225
670,79.33431
671,44.890705
672,110.250275
673,67.82688
674,-34.77432
675,-20.340437
676,-25.672901
677,-19.97171
678,-15.160586
679,-18.091873
680,15.148323
681,15.094424
682,-8.501384
683,-10.444868
684,-68.93879
685,-28.362368
686,1.2751526
687,159.95753
688,207.84152
689,277.07843
690,240.00899
691,226.67223
692,174.78554
693,203.00485
694,203.02853
695,150.59177
696,88.78103
697,52.68887
698,19.274813
699,-23.898245
700,-30.207102
701,-25.934595
702,-33.03903
703,-11.4638195
704,4.128901
705,5.9027987
706,0.20956713
707,8.860345
708,-8.555708
709,0.6205841
710,18.134459
711,53.550545
712,120.87855
713,115.660164
714,45.803177
715,95.48736
716,19.67651
717,70.63508
718,108.79786
719,110.34648
720,110.70763
721,70.30052
722,47.225647
723,-31.039677
724,-28.248114
725,-51.06718
726,-27.108652
727,-24.959179
728,7.2198114
729,-0.07120391
730,1.9640057
731,-3.0379748
732,8.8608
733,4.062828
734,12.567476
735,16.739025
736,178.63269
737,195.82425
738,196.01825
739,313.22205
740,207.10782
741,146.76382
742,88.91076
743,42.424946
744,81.19365
745,84.928185
746,62.631165
747,-9.001156
748,-0.7480558
749,-23.475843
750,-43.371082
751,29.676582
752,-7.1958895
753,46.130707
754,34.02677
755,43.39424
756,37.98758
757,38.09402
758,-16.62586
759,60.591526
760,97.82838
761,191.91135
762,74.78391
763,40.65317
764,49.571842
765,123.37137
766,92.989586
767,102.13565
768,106.89061
769,28.14578
770,46.071175
771,15.838846
772,9.809974
773,52.088253
774,47.24975
775,24.613266
776,83.04108
777,43.757412
778,87.937614
779,88.283905
780,35.257233
781,35.661114
782,72.12553
783,117.87618
784,297.39935
785,124.70731
786,150.39752
