,mont-picocruz
0,674.6025
1,784.1529
2,584.1916
3,601.66376
4,415.96597
5,208.36552
6,126.75686
7,59.322273
8,-110.39106
9,-14.387057
10,-14.387057
11,-14.387057
12,-11.16036
13,-4.951553
14,-13.252359
15,-13.6637125
16,-14.077213
17,-10.382576
18,12.42067
19,109.65934
20,196.65237
21,294.7896
22,506.0503
23,615.72974
24,626.48816
25,737.61163
26,624.5509
27,575.2916
28,431.05634
29,199.79863
30,117.48972
31,29.551428
32,18.065979
33,18.315315
34,16.876497
35,18.315315
36,10.202641
37,13.093932
38,2.8807774
39,5.5069537
40,2.5446334
41,5.827351
42,30.26106
43,121.104515
44,150.67653
45,300.25763
46,533.9026
47,679.7461
48,632.57513
49,707.5926
50,570.1021
51,515.167
52,462.50537
53,229.8912
54,143.49835
55,-71.06313
56,-99.722
57,-100.160675
58,11.555941
59,40.333378
60,11.22308
61,13.25618
62,13.069943
63,13.874321
64,6.736192
65,3.3876495
66,37.722813
67,138.01176
68,222.33257
69,442.82166
70,544.2121
71,643.29584
72,628.60046
73,679.55194
74,569.07245
75,625.4701
76,473.6135
77,290.8202
78,52.581844
79,16.386272
80,22.256756
81,-92.75454
82,-98.12499
83,-92.68645
84,-125.27507
85,-112.94635
86,-112.94635
87,-106.00635
88,-122.681946
89,-18.66206
90,5.9391394
91,109.964485
92,201.11562
93,283.58572
94,511.9772
95,583.60126
96,637.29236
97,705.6369
98,622.11786
99,553.84796
100,388.57318
101,175.26328
102,114.125404
103,8.222829
104,-9.0121975
105,-5.201645
106,-10.134183
107,-0.8322797
108,0.0028795078
109,-17.7324
110,-80.064514
111,-108.62528
112,-107.44424
113,-104.05465
114,-79.28184
115,-7.3038797
116,93.61546
117,329.9315
118,571.7842
119,559.6186
120,598.19183
121,625.5476
122,639.2515
123,570.1356
124,427.35574
125,253.55618
126,60.876823
127,42.05304
128,42.959126
129,-112.68777
130,-75.71537
131,-65.93604
132,-12.170234
133,-80.33135
134,16.810465
135,9.985238
136,-15.690586
137,-6.5353465
138,8.684694
139,106.45037
140,244.76784
141,474.10437
142,580.3218
143,660.4458
144,723.55884
145,760.11523
146,691.64716
147,603.5313
148,435.51453
149,253.43958
150,59.996284
151,26.235527
152,1.9571265
153,-13.913618
154,-16.773844
155,34.308964
156,-5.4784956
157,30.552784
158,-14.408549
159,23.578678
160,16.14946
161,13.975942
162,28.964264
163,107.26278
164,227.00783
165,445.62903
166,563.72394
167,612.15283
168,667.8919
169,713.53534
170,631.6089
171,555.27
172,396.56863
173,229.01326
174,63.865253
175,3.6329436
176,-4.914782
177,7.925212
178,16.578535
179,18.1207
180,-1.7192744
181,1.2509848
182,-6.4028616
183,-6.299479
184,-41.76527
185,-19.926237
186,9.094368
187,161.02919
188,289.74298
189,328.1865
190,525.0803
191,595.1059
192,686.032
193,612.14026
194,633.942
195,564.3927
196,347.55527
197,217.32173
198,46.04535
199,4.0711355
200,-12.832982
201,2.351424
202,9.134574
203,9.134574
204,9.063324
205,7.8584495
206,-10.854932
207,-10.608061
208,-85.33644
209,-83.27229
210,39.2263
211,142.47714
212,211.43974
213,285.1037
214,388.87387
215,530.3113
216,632.26874
217,684.0089
218,567.6986
219,592.4273
220,385.16635
221,211.23354
222,31.9273
223,10.275255
224,24.343353
225,6.619684
226,-1.7020249
227,31.298685
228,-21.481232
229,8.909666
230,-5.3935823
231,-3.2837796
232,-10.585548
233,-6.297259
234,21.798592
235,96.57201
236,189.28061
237,388.9797
238,670.4219
239,700.2563
240,691.59985
241,659.27325
242,651.7784
243,604.53516
244,486.10568
245,233.86664
246,97.29234
247,81.78864
248,70.33192
249,74.84731
250,57.39016
251,49.838364
252,-92.21104
253,-80.60482
254,-68.81614
255,-73.41601
256,-68.47125
257,-8.791104
258,15.083178
259,75.40513
260,206.24443
261,395.76334
262,393.94385
263,629.30505
264,726.2356
265,749.1168
266,634.46234
267,610.8891
268,417.7391
269,262.0085
270,120.30793
271,52.051273
272,16.502457
273,28.783415
274,-83.39833
275,-80.530876
276,42.714695
277,7.7127657
278,10.348355
279,4.8370543
280,18.078966
281,19.860777
282,25.989862
283,77.40995
284,237.4113
285,343.29935
286,596.95886
287,636.8181
288,696.58844
289,716.831
290,616.93024
291,610.70917
292,449.9103
293,264.88663
294,67.75858
295,52.675293
296,17.866133
297,-77.4043
298,38.269543
299,44.524277
300,1.6496068
301,-16.294405
302,-30.203411
303,-30.388224
304,-13.418761
305,-10.382576
306,14.051151
307,111.289825
308,145.49265
309,295.77292
310,492.42905
311,529.7764
312,504.57196
313,531.6888
314,508.38593
315,414.04285
316,321.99994
317,141.32555
318,20.197638
319,-17.940002
320,-26.691038
321,-32.932114
322,-14.952907
323,19.043516
324,2.7236242
325,-70.012245
326,-44.93455
327,-47.44199
328,-4.145617
329,-1.5024871
330,36.633617
331,152.37683
332,302.43335
333,537.92053
334,635.0991
335,698.76056
336,713.7643
337,880.8477
338,718.25854
339,627.51074
340,506.19678
341,336.1146
342,38.578606
343,21.48962
344,24.520966
345,42.871468
346,49.480675
347,32.406315
348,-20.029171
349,-40.50227
350,-11.41735
351,6.6824107
352,-31.654879
353,-2.7575593
354,-1.4042785
355,87.32762
356,209.3442
357,494.87173
358,603.61633
359,575.114
360,698.43726
361,696.43115
362,630.56726
363,598.3646
364,402.5868
365,225.33466
366,70.23584
367,14.040275
368,-11.924941
369,26.850058
370,20.26326
371,36.75081
372,47.998512
373,-53.79446
374,-68.79783
375,-74.79963
376,-84.631096
377,-91.03267
378,-52.94857
379,135.76112
380,198.51947
381,276.93036
382,586.4818
383,772.2099
384,806.68585
385,794.27875
386,695.4649
387,581.3507
388,443.14554
389,268.001
390,87.5155
391,-3.6233475
392,47.223938
393,31.291529
394,58.728237
395,87.22319
396,-34.305077
397,-44.249718
398,-28.711025
399,-11.5097065
400,18.496681
401,26.715876
402,49.847095
403,124.55802
404,300.74884
405,580.102
406,697.6954
407,739.25366
408,911.4013
409,934.1864
410,824.9167
411,746.43494
412,569.0246
413,391.68634
414,145.31352
415,82.47671
416,80.14362
417,60.46866
418,91.3265
419,69.86678
420,2.443719
421,-56.81399
422,-4.5023384
423,14.533366
424,19.763718
425,27.88134
426,36.87527
427,111.9948
428,303.12186
429,368.85416
430,708.91016
431,692.35114
432,696.226
433,753.74725
434,708.1489
435,674.196
436,484.28802
437,228.47527
438,38.978867
439,55.369728
440,58.91772
441,24.666042
442,56.53594
443,56.53594
444,-100.88161
445,-83.89592
446,-31.362642
447,-71.89792
448,-29.682354
449,-68.7036
450,-54.1956
451,126.69818
452,283.39944
453,367.4418
454,686.31006
455,754.61957
456,801.488
457,811.04266
458,706.2179
459,638.6492
460,466.27777
461,249.50957
462,133.32011
463,48.9955
464,52.21566
465,-14.010304
466,-31.47512
467,-45.200294
468,-47.67075
469,-47.52409
470,-40.42367
471,-38.878704
472,-47.025227
473,-46.490917
474,-31.580679
475,55.99793
476,256.06918
477,585.90625
478,647.3611
479,749.4759
480,786.83826
481,791.8482
482,688.3477
483,669.8043
484,481.83493
485,254.6036
486,107.37519
487,39.34149
488,-19.62491
489,-100.6316
490,-38.506786
491,-52.321205
492,-49.522953
493,-40.744335
494,-45.905178
495,35.564106
496,12.077953
497,14.220472
498,23.039923
499,118.309006
500,277.05698
501,540.0177
502,600.30316
503,752.9415
504,767.7161
505,791.8966
506,774.1181
507,727.5838
508,546.3456
509,332.71533
510,64.610275
511,13.327903
512,-5.988721
513,8.031596
514,4.4778585
515,33.00579
516,34.381588
517,12.460266
518,15.218834
519,12.386386
520,-35.762905
521,-34.48313
522,-27.824339
523,63.608208
524,299.21597
525,537.5476
526,613.4501
527,748.4691
528,727.5314
529,857.28094
530,804.53424
