,mont-samagallo
0,274.19882
1,252.3765
2,194.6083
3,94.55863
4,62.225136
5,15.579809
6,-2.0405316
7,-17.258293
8,24.51632
9,-1.7288724
10,5.5752115
11,3.8189743
12,-1.0418888
13,-0.27242655
14,-7.338292
15,-3.0377362
16,-8.594976
17,0.8719662
18,26.146233
19,-15.162113
20,163.20526
21,294.27252
22,242.60866
23,199.96214
24,182.94437
25,190.35155
26,182.04372
27,147.50484
28,92.81639
29,-2.233029
30,9.253198
31,0.49475157
32,-7.3286242
33,-1.324514
34,-0.6967259
35,-3.5714993
36,12.82443
37,11.054057
38,26.39767
39,7.9620147
40,8.853369
41,5.09568
42,5.494179
43,2.922433
44,110.29765
45,108.96267
46,50.151134
47,22.123718
48,54.324276
49,102.93854
50,149.73102
51,156.59811
52,-15.1998205
53,21.67794
54,13.36124
55,1.6353786
56,-2.3021812
57,10.050822
58,-8.196733
59,-16.814562
60,2.2715
61,-11.203511
62,-5.8246756
63,-8.9004
64,16.92974
65,9.064911
66,41.639305
67,-1.5663886
68,152.52124
69,268.65323
70,403.46277
71,392.23807
72,389.3888
73,328.58215
74,279.54016
75,136.76547
76,35.285446
77,-1.37638
78,6.3900943
79,61.121147
80,6.5381966
81,5.7350707
82,17.936481
83,-6.9249387
84,-3.352298
85,-14.060458
86,2.506083
87,-13.7680855
88,-22.683474
89,-11.7881365
90,-18.552473
91,-27.056486
92,123.312225
93,266.66547
94,302.37546
95,310.5382
96,351.38837
97,333.90878
98,245.56012
99,178.92604
100,104.26533
101,-9.007628
102,-17.083254
103,31.144808
104,-1.6347046
105,65.485725
106,4.790251
107,-4.919556
108,-11.464706
109,-11.697088
110,5.2171903
111,4.326574
112,5.973019
113,-7.0079875
114,-1.5853517
115,84.96603
116,99.99654
117,315.57092
118,412.4778
119,340.912
120,344.38794
121,192.91617
122,291.0126
123,100.835945
124,52.27913
125,18.771814
126,4.257905
127,-2.087206
128,1.6312871
129,1.3350754
130,5.771969
131,-8.081953
132,3.5664136
133,-4.3669066
134,-7.999374
135,-8.415831
136,-10.81004
137,-7.5336914
138,-6.734231
139,-27.121658
140,83.29505
141,120.30159
142,141.78052
143,114.626816
144,122.84666
145,115.35424
146,160.64885
147,71.90892
148,38.63271
149,-8.131602
150,-3.6998305
151,83.64775
152,9.032581
153,6.7164154
154,11.304519
155,0.34669054
156,-4.3030553
157,-1.1512197
158,0.5723856
159,-6.8895903
160,-1.0305401
161,4.7654824
162,4.6710453
163,18.269207
164,137.62875
165,165.98361
166,154.43636
167,288.266
168,80.85433
169,244.44107
170,70.945885
171,55.36444
172,18.405201
173,-39.102646
174,-1.2084537
175,15.342229
176,-1.7164311
177,-1.5802002
178,-2.0955837
179,16.286665
180,-1.13795
181,32.02857
182,16.130833
183,10.796025
184,51.014988
185,18.333376
186,25.55144
187,-34.193375
188,93.796524
189,49.23135
190,35.448986
191,21.523563
192,26.46217
193,6.507586
194,53.80759
195,41.286243
196,67.09866
197,6.225104
198,-2.8793406
199,13.849863
200,12.658418
201,12.658418
202,15.790841
203,-2.7729313
204,1.4775212
205,1.9841042
206,17.869942
207,2.402789
208,3.1590645
209,8.992469
210,3.9018471
211,-6.984633
212,105.20932
213,106.28972
214,211.38077
215,229.04901
216,253.8376
217,225.66827
218,183.6278
219,83.950516
220,24.650696
221,-0.6272222
222,7.568136
223,4.8402886
224,2.4341297
225,-0.09055163
226,3.934394
227,1.760901
228,-2.429438
229,2.2146633
230,1.9875735
231,-7.515575
232,0.22887076
233,3.6131406
234,8.824166
235,0.49670196
236,112.99742
237,191.82668
238,201.51021
239,342.03738
240,208.54271
241,162.80382
242,156.05452
243,119.09818
244,11.745706
245,23.046955
246,35.274956
247,47.988636
248,16.057518
249,13.2568865
250,14.153432
251,-0.11592126
252,0.8002703
253,-3.3030958
254,-4.3350487
255,-5.100793
256,-3.3987098
257,-3.125465
258,2.3721206
259,5.789148
260,91.052605
261,135.2999
262,163.30038
263,185.53117
264,173.44124
265,165.33714
266,172.68564
267,85.74699
268,11.762128
269,-4.5243225
270,-0.8125086
271,7.2302876
272,3.3444314
273,3.796565
274,-10.575378
275,-8.230746
276,1.7284137
277,-4.9297523
278,-28.781023
279,25.883446
280,28.095299
281,-8.862724
282,80.04334
283,122.44977
284,238.0292
285,241.27574
286,239.98878
287,485.4521
288,607.58716
289,503.714
290,500.80078
291,112.723656
292,98.59857
293,0.6510619
294,8.782022
295,4.831603
296,1.612769
297,9.073489
298,17.714785
299,2.1172674
300,1.4044398
301,1.953432
302,-7.5598764
303,-0.929302
304,-7.104828
305,13.351857
306,-4.8917093
307,88.79648
308,128.54767
309,284.51898
310,412.527
311,516.7978
312,459.037
313,420.13702
314,219.23766
315,124.92503
316,62.621838
317,-6.2916183
318,1.146929
319,-0.14309336
320,2.975153
321,0.7585434
322,4.904744
323,-9.209222
324,1.7176434
325,-26.132767
326,-1.9107302
327,0.44612405
328,-1.0659474
329,-14.939579
330,-0.5459147
331,34.17938
332,176.78505
333,438.78812
334,498.58713
335,520.10266
336,457.8331
337,480.8399
338,346.97186
339,147.51659
340,51.23673
341,-1.6943965
342,-7.109211
343,-1.311936
344,21.041048
345,-7.435509
346,10.556732
347,-88.89116
348,-6.7994933
349,-7.7956743
350,0.5862674
351,-3.03301
352,-8.365648
353,1.0457175
354,14.078152
355,37.039394
356,229.30867
357,351.5797
358,585.45074
359,558.1812
360,612.04663
361,384.68744
362,255.28252
363,123.027466
364,116.248634
365,-12.149997
366,4.1426682
367,2.0459936
368,3.5598636
369,12.606309
370,1.7995696
371,7.9229245
372,-3.186447
373,9.628489
374,0.91517895
375,-1.5323106
376,-20.62126
377,-29.72387
378,-8.760187
379,30.100554
380,187.92328
381,406.8118
382,550.7713
383,549.52594
384,531.13214
385,450.37476
386,369.9736
387,188.20839
388,67.1509
389,3.9574652
390,1.1720382
391,1.4748137
392,-4.5658937
393,-9.810737
394,-24.600817
395,2.0518079
396,-16.172293
397,4.638303
398,-68.92787
399,5.3269506
400,-4.2138944
401,-42.895218
402,-1.4241577
403,-2.1538894
404,142.5497
405,372.3264
406,509.53357
407,457.03018
408,548.84863
409,419.13132
410,245.38258
411,63.861904
412,-4.276243
413,-15.421388
414,30.27515
415,-31.663675
416,23.51197
417,-43.98872
418,19.265085
419,-0.8422252
420,-38.906734
421,6.147573
422,-93.16367
423,-142.71652
424,-34.11187
425,-77.819115
426,-49.37893
427,-11.199829
428,-8.183325
429,299.14047
430,364.6654
431,471.41193
432,430.09677
433,380.95956
434,366.46533
435,136.07755
436,44.790333
437,-0.3929081
438,-5.2644606
439,15.417161
440,43.002747
441,-3.3707433
442,4.2204385
443,17.011473
444,4.319436
445,-13.28978
446,-3.2745142
447,5.5818644
448,-0.2101203
449,2.4640646
450,-17.459284
451,25.342035
452,211.96642
453,471.12192
454,663.3682
455,627.633
456,663.2141
457,590.52026
458,435.10468
459,167.46715
460,108.75693
461,-8.404105
462,-4.1253853
463,19.494032
464,18.561316
465,-20.084282
466,19.179928
467,-4.180001
468,11.40095
469,-16.446945
470,-7.71336
471,-13.527645
472,-6.0105743
473,-9.0523615
474,26.672657
475,59.27331
476,233.80984
477,340.39627
478,468.90988
479,559.1758
480,539.5136
481,466.20682
482,307.2593
483,154.44492
484,88.09449
485,-1.395792
486,-4.6560087
487,-2.165226
488,21.514872
489,-2.126458
490,-7.065927
491,0.37056944
492,4.1715
493,6.4690585
494,3.0130713
495,9.704489
496,0.16333625
497,6.9166813
498,7.727079
499,45.76065
500,358.8298
501,476.2996
502,431.86813
503,405.92386
504,216.04962
505,425.74133
506,370.38962
507,206.91609
508,105.718346
509,48.772938
510,-11.469666
511,1.4261904
512,0.4437732
513,4.1202374
514,0.86968845
515,-8.895293
516,-6.565794
517,23.857279
