,mont-tricias
0,261.2228
1,175.36974
2,154.3312
3,97.62869
4,104.8338
5,29.86049
6,23.785303
7,11.567626
8,16.513908
9,-6.977718
10,15.477745
11,1.0236479
12,3.9087179
13,8.307493
14,3.3719804
15,4.888847
16,6.5239086
17,0.81539285
18,0.46218294
19,23.309832
20,83.03775
21,327.3869
22,475.67685
23,284.71
24,168.33737
25,222.17096
26,133.70691
27,162.426
28,126.26881
29,-38.65285
30,15.470072
31,17.2499
32,14.243635
33,3.4242122
34,13.164888
35,-23.773108
36,-19.885393
37,-6.8652153
38,-9.273965
39,-9.87106
40,-12.13934
41,-1.8397824
42,7.51065
43,18.391857
44,158.85147
45,122.48817
46,215.42747
47,426.41626
48,258.18423
49,244.2844
50,192.4984
51,138.91127
52,18.879835
53,-6.721687
54,-8.396921
55,-13.758062
56,-3.3733888
57,2.012486
58,5.396254
59,-44.714497
60,-23.592976
61,0.09783924
62,26.785387
63,1.8288422
64,6.58826
65,-0.18974689
66,16.05557
67,-0.88291144
68,226.49905
69,216.3164
70,490.2396
71,592.699
72,574.12683
73,580.8279
74,397.53125
75,239.17982
76,134.27711
77,23.86692
78,-4.586756
79,-44.8338
80,-20.349144
81,-1.1013356
82,-13.358777
83,-12.118383
84,-40.40935
85,-27.231295
86,-35.406513
87,-2.429651
88,-37.54582
89,-20.899736
90,9.40216
91,8.331507
92,201.9688
93,330.7256
94,487.59332
95,455.9767
96,513.652
97,479.65875
98,377.4229
99,160.98412
100,29.743773
101,4.4815655
102,-22.43496
103,-0.013992667
104,-28.645905
105,-15.685967
106,-22.751259
107,8.370935
108,-18.686874
109,-3.0288553
110,34.365944
111,23.809578
112,17.191906
113,1.2713604
114,25.671421
115,-43.60961
116,131.81665
117,251.22366
118,455.47214
119,412.33167
120,429.77582
121,462.4767
122,330.20267
123,220.46486
124,63.233685
125,-13.736304
126,-16.90577
127,1.1110802
128,-12.956243
129,4.0083194
130,-12.55727
131,-0.90946233
132,1.2547644
133,-5.7886634
134,-2.3110175
135,0.5837456
136,-1.7401092
137,5.4324613
138,5.292496
139,20.517212
140,195.215
141,325.15775
142,321.44745
143,299.49948
144,392.84915
145,389.9239
146,354.28433
147,123.93172
148,83.81034
149,-5.7962832
150,12.219121
151,-3.4594593
152,-4.4721975
153,21.718498
154,6.8382635
155,-6.6548896
156,-17.54912
157,3.30159
158,-17.913738
159,-4.9853573
160,8.748261
161,-8.912068
162,-5.072002
163,-6.793669
164,116.16985
165,154.07608
166,213.45862
167,327.2042
168,215.69014
169,319.77466
170,133.57462
171,89.08138
172,48.86303
173,7.3510385
174,-3.800871
175,-6.513097
176,3.3482883
177,-2.858019
178,12.12986
179,-4.860497
180,1.8293978
181,-1.683992
182,-15.819486
183,-2.8526075
184,-6.561052
185,-2.0719655
186,-2.294593
187,24.192707
188,125.17307
189,243.64848
190,226.02065
191,162.74028
192,30.106335
193,116.33355
194,127.07404
195,143.45424
196,12.573475
197,-9.363865
198,-6.755001
199,-3.0707905
200,-7.830534
201,-25.932783
202,-43.502617
203,-14.990772
204,31.170547
205,144.69868
206,49.04425
207,37.62505
208,51.905235
209,48.983536
210,-3.464058
211,60.104027
212,223.75082
213,324.49472
214,241.69977
215,220.19121
216,286.52496
217,226.59589
218,230.7301
219,143.49838
220,116.402405
221,11.2183485
222,37.697063
223,47.723183
224,54.527546
225,-19.718405
226,-5.664012
227,-2.4131868
228,3.6372721
229,1.1015391
230,-2.3928926
231,4.9740677
232,3.0631452
233,5.0855923
234,5.315471
235,-23.003057
236,181.02924
237,342.60382
238,386.11127
239,382.69406
240,393.95087
241,127.25497
242,-18.469687
243,20.619694
244,75.212425
245,11.232188
246,-21.979649
247,41.12914
248,11.988005
249,-1.6603805
250,-13.413238
251,23.619226
252,-2.0234287
253,-1.3577583
254,-4.636146
255,14.775881
256,20.876766
257,36.613495
258,34.158306
259,9.57933
260,204.2843
261,360.57874
262,451.35477
263,321.1601
264,343.30948
265,151.22502
266,38.275036
267,82.70026
268,62.63066
269,-13.16793
270,-2.9159324
271,-5.3056974
272,8.037839
273,4.7161427
274,-8.986775
275,4.6925735
276,-3.3575087
277,-7.276026
278,-3.0689678
279,-3.8763762
280,-20.39729
281,1.1305163
282,29.195635
283,74.46698
284,183.13312
285,160.2173
286,239.99292
287,227.528
288,197.92099
289,161.7593
290,148.59097
291,118.35409
292,31.779648
293,-4.261453
294,34.407707
295,-8.079229
296,-9.217247
297,-13.271385
298,-32.43335
299,-5.336755
300,-2.7822425
301,-4.4828653
302,-4.352532
303,-4.1006737
304,-3.16976
305,-2.7739067
306,-6.033351
307,0.909966
308,109.809364
309,197.00337
310,282.2585
311,251.75058
312,275.40387
313,224.97786
314,119.541084
315,68.777466
316,25.569319
317,-2.1303694
318,-3.7276623
319,-1.2752587
320,-5.50254
321,-1.270888
322,-1.270888
323,-4.002829
324,-1.5409626
325,-1.8349317
326,2.5648525
327,-1.0304466
328,0.18269694
329,-2.9160528
330,0.74928236
331,21.27471
332,84.88735
333,207.65482
334,250.9021
335,213.4259
336,280.7183
337,190.13324
338,257.89554
339,136.04865
340,128.2506
341,13.142356
342,10.219034
343,5.502094
344,8.723694
345,7.179257
346,11.340568
347,3.391194
348,-2.1514053
349,2.7455776
350,3.5613942
351,0.84810567
352,-0.6542603
353,0.60486066
354,6.781789
355,27.433609
356,87.68011
357,307.57153
358,268.39856
359,248.83365
360,403.65475
361,287.85007
362,169.20735
363,144.2449
364,98.37771
365,8.019594
366,-2.4317942
367,1.6190125
368,-0.30686194
