,salinas
0,677.55994
1,590.2329
2,427.16986
3,261.72037
4,93.598236
5,6.718149
6,37.281403
7,14.557361
8,40.43085
9,39.255432
10,35.68759
11,8.426215
12,8.426215
13,-8.223676
14,9.095895
15,7.789989
16,-24.554686
17,-4.4351315
18,9.30664
19,91.96808
20,292.51508
21,446.20682
22,580.1364
23,628.31946
24,639.8379
25,517.25867
26,390.43005
27,251.43213
28,162.05513
29,60.66178
30,31.264204
31,12.257937
32,32.963917
33,28.416279
34,32.4415
35,9.963575
36,11.735021
37,24.681633
38,36.731323
39,21.855984
40,-0.17592517
41,19.483612
42,23.709538
43,66.521996
44,331.1211
45,497.47626
46,581.18726
47,621.49585
48,670.2737
49,459.71884
50,411.85828
51,202.31909
52,113.72126
53,17.228031
54,-1.1038742
55,-1.770885
56,6.3877735
57,-36.19822
58,17.000309
59,10.022296
60,7.1034055
61,23.514807
62,14.891294
63,14.123892
64,21.406677
65,17.69755
66,10.707871
67,61.212402
68,298.65378
69,452.8576
70,644.50183
71,665.36993
72,639.8054
73,511.89966
74,427.39792
75,255.31659
76,153.86867
77,39.95309
78,41.027336
79,17.127916
80,40.623146
81,29.008884
82,9.364135
83,24.858595
84,0.79983187
85,12.613389
86,34.678425
87,23.262747
88,35.17157
89,35.15711
90,40.0707
91,74.20331
92,295.81195
93,435.7618
94,611.54376
95,592.66473
96,570.54767
97,492.78683
98,408.7616
99,231.93307
100,104.13228
101,10.512858
102,4.3900056
103,-8.789017
104,2.3495128
105,10.186536
106,2.5940127
107,-8.092555
108,16.393438
109,-0.856774
110,6.650886
111,-5.1863847
112,-0.5776427
113,8.527597
114,8.864663
115,60.223648
116,253.81747
117,503.5665
118,601.80743
119,667.857
120,667.32996
121,551.24274
122,491.98596
123,249.2052
124,116.18213
125,4.037254
126,47.509655
127,-3.4725041
128,5.6513386
129,4.5894732
130,3.766314
131,2.4677489
132,8.579253
133,-1.2962933
134,17.353338
135,5.4927497
136,12.280824
137,8.66699
138,17.487972
139,75.319115
140,293.82654
141,479.83188
142,496.73044
143,638.3768
144,626.7492
145,498.66306
146,357.13266
147,182.89482
148,113.02586
149,21.431145
150,16.689184
151,14.7707
152,11.652992
153,-4.7502856
154,6.0742
155,13.566069
156,19.699581
157,14.423907
158,5.3842673
159,8.059659
160,13.451921
161,-2.1115117
162,15.15742
163,67.64609
164,313.9376
165,491.85602
166,565.0534
167,577.48004
168,576.59186
169,518.71436
170,376.96222
171,220.37952
172,116.80149
173,35.683197
174,7.3472753
175,-0.7484813
176,13.844706
177,18.096544
178,9.662993
179,9.491645
180,-1.9328161
181,-4.7806687
182,-22.73355
183,-23.865099
184,-4.6921487
185,-22.678173
186,-3.0041795
187,9.488564
188,229.10764
189,502.7974
190,566.9579
191,615.1124
192,599.1906
193,552.85974
194,396.73807
195,199.94319
196,96.30888
197,-4.459815
198,32.902077
199,84.00745
200,79.4126
201,40.112904
202,84.16071
203,37.59521
204,43.342827
205,33.07638
206,54.054264
207,35.230415
208,54.6522
209,42.437176
210,42.220165
211,80.02767
212,310.6665
213,514.7109
214,654.172
215,631.3608
216,694.13574
217,498.95212
218,411.52805
219,255.37204
220,134.63448
221,28.747026
222,36.793118
223,20.628939
224,19.32757
225,25.68964
226,11.877344
227,12.588126
228,25.346886
229,13.4727125
230,16.511091
231,20.337828
232,7.2449975
233,36.648468
234,39.325233
235,11.706879
236,265.16812
237,351.1843
238,471.28296
239,499.16025
240,541.01605
241,516.2115
242,479.92218
243,256.59387
244,141.87651
245,36.341038
246,36.96
247,38.978775
248,36.798096
249,43.4253
250,32.51806
251,30.207409
252,39.25656
253,26.616169
254,19.793531
255,47.133713
256,36.18135
257,19.006136
258,20.28513
259,86.321434
260,281.4143
261,486.6279
262,620.58105
263,659.55536
264,666.0621
265,540.9507
266,444.97232
267,228.91666
268,142.65227
269,47.288437
270,21.04543
271,20.918386
272,24.431808
273,3.4658637
274,4.057571
275,15.158436
276,16.322718
277,15.769911
278,-10.658001
279,48.140236
280,47.960552
281,32.454906
282,33.634842
283,45.156754
284,386.7848
285,471.1811
286,595.1577
287,668.44727
288,640.068
289,622.62067
290,385.04507
291,193.42987
292,96.66235
293,49.43757
294,-19.711636
295,8.02318
296,66.611145
297,66.611145
298,21.44635
299,7.6747413
300,19.166395
301,26.940052
302,17.37408
303,6.780027
304,9.024151
305,28.189526
306,16.299814
307,61.69986
308,220.41138
309,481.11752
310,595.6193
311,648.4774
312,703.43164
313,540.429
314,423.56433
315,250.861
316,71.78278
317,18.924103
318,-33.301506
319,-6.4389157
320,21.251335
321,20.12923
322,22.599863
323,45.436428
324,-2.660303
325,7.818153
326,-57.599335
327,-6.665382
328,-1.2277966
329,-5.680946
330,13.278756
331,62.17399
332,256.0514
333,444.35733
334,528.43445
335,590.15814
336,605.02826
337,485.32477
338,419.6134
339,275.32593
340,53.285015
341,10.522388
342,37.56489
343,-23.40604
344,26.670809
345,17.827824
346,17.453018
347,3.6000125
348,6.5224433
349,2.2928343
350,-5.7151885
351,-8.700943
352,-6.8521314
353,-26.762165
354,19.72748
355,68.96932
356,290.48383
357,491.302
358,600.0386
359,655.25366
360,671.7047
361,574.85956
362,419.42017
363,208.61298
364,102.91998
365,19.987883
366,3.4773664
367,17.50744
368,18.261797
369,32.1079
370,-2.1195188
371,-8.511754
372,-1.6321478
373,19.980286
374,-3.2777689
375,-4.8776145
376,28.799593
377,32.843723
378,33.271175
379,68.23079
380,214.88884
381,399.5061
382,514.85547
383,597.5296
384,584.1728
385,421.8075
386,366.29468
387,224.30049
388,116.773636
389,-14.127377
390,-3.593536
391,-10.97658
392,-20.100733
393,-14.995018
394,13.029032
395,-76.802635
396,7.8744855
397,-2.759134
398,18.542414
399,36.343575
400,-56.017956
401,21.501356
402,15.488816
403,62.27132
404,287.2829
405,446.32916
406,590.8524
407,644.13043
408,632.37964
409,447.99423
410,382.52634
411,191.24777
412,84.89224
413,-5.184356
414,-2.6071253
415,1.9483495
416,-31.0626
417,-41.52505
418,-8.855141
419,9.287528
420,-3.3978148
421,40.564598
422,49.406322
423,41.688644
424,39.939342
425,27.38739
426,25.752232
427,94.17537
428,312.52982
429,454.4246
430,603.06976
431,668.3992
432,665.4076
433,523.05176
434,382.98508
435,243.34276
436,146.49039
437,0.44945812
438,-2.0775208
439,41.704254
440,12.181501
441,10.6018505
442,8.744827
443,-98.26526
444,-87.034996
445,-14.809902
446,7.4193506
447,-28.7595
448,-17.492144
449,1.6729351
450,-58.57339
451,16.22386
452,115.627396
453,386.03262
454,620.47266
455,686.05634
456,697.87555
457,666.44495
458,493.20282
459,284.52448
460,221.58174
461,86.675476
462,37.62411
463,48.730698
464,34.756943
465,34.62139
466,30.11311
467,9.947068
468,-11.758921
469,-16.80866
470,-17.976652
471,19.067919
472,-14.6406
473,3.7488794
474,-36.388393
