,sanantonio
0,456.76962
1,484.715
2,360.16226
3,285.32245
4,173.74681
5,68.17467
6,79.960915
7,78.95788
8,51.75167
9,79.529366
10,122.92666
11,-6.3299623
12,-3.2782676
13,-5.2457404
14,0.5475487
15,-3.701667
16,-3.5326524
17,1.8381284
18,2.2883592
19,2.9191327
20,143.25159
21,297.5202
22,268.105
23,293.80923
24,282.13104
25,287.81784
26,281.98834
27,125.54133
28,70.713684
29,13.432182
30,15.745332
31,-21.914
32,0.33115095
33,2.666811
34,5.23323
35,-2.666442
36,-6.105286
37,4.6897216
38,0.26923135
39,-1.7629995
40,-8.311784
41,-6.2931066
42,2.2839503
43,-3.4514132
44,117.2665
45,224.91106
46,224.18506
47,180.57527
48,35.65336
49,128.96455
50,116.316086
51,98.20808
52,14.286352
53,0.9045858
54,-2.0812523
55,10.367642
56,-1.2530111
57,3.8425012
58,7.0429444
59,0.6921919
60,73.695305
61,-1.9532521
62,21.217499
63,-33.14172
64,-18.0873
65,-25.716766
66,-30.591606
67,-15.30593
68,95.5686
69,299.6602
70,305.2878
71,295.16226
72,292.14032
73,264.06702
74,314.74866
75,151.61249
76,84.70988
77,49.89653
78,-7.874974
79,-25.34494
80,9.417877
81,8.053847
82,21.134457
83,-31.396284
84,93.12788
85,41.83763
86,132.47389
87,85.27619
88,39.077194
89,47.60949
90,37.192142
91,37.74517
92,158.29495
93,277.52917
94,346.00128
95,275.92438
96,289.3495
97,362.48822
98,333.86456
99,142.00313
100,92.49339
101,19.936806
102,78.71117
103,-1.8974838
104,22.50061
105,0.8704343
106,-8.67848
107,0.16222292
108,0.08005744
109,-1.817963
110,39.01265
111,-21.905903
112,16.23563
113,1.9721022
114,-8.071392
115,-36.127403
116,91.154945
117,244.20369
118,324.9382
119,316.79398
120,333.07907
121,372.64548
122,172.16135
123,121.66787
124,52.84396
125,-3.985276
126,7.6177473
127,9.397702
128,9.716084
129,-18.437683
130,3.33104
131,1.5433553
132,-4.8056526
133,1.1315335
134,2.4946234
135,7.679434
136,6.3821507
137,82.67416
138,52.308846
139,7.492365
140,189.72751
141,209.32538
142,325.4208
143,198.04741
144,291.1728
145,268.82736
146,162.88068
147,162.51831
148,94.01631
149,2.2737734
150,7.6977196
151,16.611301
152,5.8025217
153,6.7700024
154,10.666408
155,-1.9654537
156,-0.17795405
157,9.612726
158,-3.702631
159,4.79928
160,-18.963085
161,10.456939
162,-0.30377114
163,-0.9788332
164,98.95339
165,161.18623
166,188.49261
167,107.012314
168,119.90927
169,174.54008
170,130.63496
171,61.953236
172,24.808035
173,-5.0452175
174,-3.4487112
175,13.119991
176,11.184971
177,4.536721
178,2.1781309
179,2.7167277
180,5.0860567
181,23.309807
182,37.114487
183,11.10913
184,29.69556
185,-1.855871
186,5.9134083
187,-94.73466
188,205.11357
189,267.15063
190,287.7741
191,356.9286
192,310.88034
193,355.82733
194,311.84204
195,201.96577
196,89.48612
197,22.482292
198,29.753815
199,27.42379
200,29.753345
201,29.15984
202,21.146515
203,76.14026
204,-15.7729435
205,-19.986755
206,47.778717
207,14.873858
208,15.684735
209,61.95423
210,20.971891
211,86.88245
212,214.71558
213,252.68799
214,432.186
215,233.2972
216,422.91476
217,415.3032
218,351.44525
219,258.5238
220,82.13814
221,37.437057
222,-45.053627
223,1.6861458
224,44.501457
225,45.133995
226,45.133995
227,-50.73055
228,1.1144985
229,-1.3540471
230,-4.6519046
231,5.7494226
232,46.923782
233,66.07435
234,-3.4907954
235,11.842955
236,56.92395
237,421.4951
238,290.35706
239,247.43546
240,254.65947
241,263.33127
242,272.73505
243,82.96927
244,57.987514
245,-13.116929
246,-39.621014
247,-30.12923
248,48.766056
249,13.811147
250,20.78017
251,-16.696484
252,32.301975
253,1.1661403
254,-0.2126557
255,35.456852
256,48.5311
257,-11.961179
258,37.778294
259,100.00919
260,180.59856
261,258.82755
262,283.71222
263,421.96643
264,302.79544
265,374.96066
266,283.5597
267,173.80278
268,17.61974
269,-7.9346313
270,4.56742
271,-19.296303
272,-20.242363
273,53.871304
274,64.35407
275,8.678708
276,-1.3814447
277,-7.1384797
278,-9.666072
279,-0.46934912
280,3.0390058
281,43.46713
282,126.302155
283,-43.45128
284,213.88336
285,188.13036
286,185.85002
287,193.01585
288,184.11555
289,205.18494
290,181.85625
291,93.99763
292,62.801105
293,-12.456851
294,-8.773706
295,-35.973316
296,4.4995947
297,-24.366333
298,60.0862
299,-3.272904
300,1.3125399
301,-0.067383684
302,6.8517623
303,-3.7681499
304,-1.1657623
305,0.95757586
306,-8.067723
307,79.095406
308,159.18178
309,147.51791
310,234.04245
311,334.90472
312,321.32294
313,279.7074
314,192.1473
315,112.94541
316,43.53333
317,-1.7881243
318,-4.2301283
319,8.01067
320,4.22824
321,0.56607425
322,0.39795077
323,-1.860956
324,11.182865
325,20.00238
326,2.8919694
327,0.30047333
328,-1.247689
329,-4.638897
330,13.192019
331,40.808556
332,86.45617
333,153.58458
334,248.96986
335,387.96127
336,387.36493
337,354.0905
338,444.42676
339,244.31631
340,180.36581
341,74.40316
342,82.65992
343,75.97516
344,84.340004
345,72.68981
346,88.90754
347,14.085098
348,4.4775386
349,2.9139695
350,1.4733137
351,12.731184
352,4.3554115
353,1.079925
354,-4.5625844
355,32.311718
356,112.91936
357,157.82535
358,299.4953
359,489.42908
360,300.49
361,435.7954
362,272.32727
363,201.32495
364,138.49104
365,51.564808
366,52.846535
367,54.113365
368,57.063145
369,58.847416
370,50.281124
371,1.4314709
372,3.957588
373,1.6203893
374,5.0351253
375,0.6789464
376,-12.568516
377,13.082831
378,-2.9669576
379,39.708
380,97.50003
381,259.21307
382,452.46875
383,525.0712
384,556.55273
385,515.48395
386,508.20435
387,310.34933
388,199.28172
389,70.31589
390,123.3573
391,119.809616
392,74.20853
393,70.81331
394,73.962296
395,0.08242345
396,1.6641198
397,-8.657569
398,17.117624
399,1.5721006
400,1.3891921
401,-4.8857923
402,12.073689
403,43.16617
404,131.6014
405,279.6352
406,429.19156
407,525.1162
408,394.52722
409,448.2638
410,364.89355
411,176.12578
412,104.21585
413,20.121305
414,11.955638
415,11.934628
416,4.0146484
417,12.031095
418,9.202035
419,1.5542853
420,4.71234
421,3.8127942
422,1.2702152
423,3.9292104
424,1.3769709
425,-1.5535342
426,-0.83027756
427,42.982292
428,104.56759
429,378.54016
430,526.99365
431,503.72012
432,563.17316
433,472.86395
434,427.6223
435,272.19052
436,194.9948
437,83.77495
438,80.1368
439,118.85119
440,117.538734
441,120.72193
442,122.90994
443,3.5028217
444,5.8016534
445,9.5452385
446,9.217066
447,12.157882
448,-0.8611274
449,-0.19730657
450,-1.6056861
451,-5.4328556
452,161.77936
453,316.45764
454,456.43146
455,521.08636
456,561.43536
457,564.8433
458,478.61252
459,209.99199
460,139.6156
461,22.917192
462,34.764397
463,13.1742
464,-3.4531512
465,0.29365826
466,-4.2938166
467,-6.3898945
468,-19.182434
469,13.923003
470,-2.1097143
471,-39.288544
472,0.6228751
473,-36.819317
474,-2.2181373
475,-35.476383
476,163.39035
477,501.1882
478,592.70715
479,606.8291
480,695.7353
481,472.50372
482,226.8784
483,80.518585
484,39.689617
485,10.976938
486,-2.5492516
487,0.95458704
488,-0.44159874
489,-13.546
490,-3.7005067
491,-0.6106137
492,0.6611432
493,-2.4076347
494,-0.6061754
